hiligaynon_pattern,english_pattern,triage_level,severity,medical_category,reason,body_system,status
hilanat gid grabe kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid grabe gid kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa kilid mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa kilid mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa kilid mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid sa kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
may hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
kilid mata ko hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
kilid mata akon hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
kilid mata ko akon hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
kilid mata akon ko hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
ko kilid mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
akon kilid mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
ko akon kilid mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
akon ko kilid mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid ko kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid akon kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid ko akon kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid gid akon ko kilid mata,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
gid hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
grabe gid hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
kilid mata hilanat gid,eyelid high fever,urgent,moderate,general,Combinatorial auto-rule,eyelid,active
hilanat gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid ko dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid akon dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid ko akon dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid akon ko dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid grabe gid dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid sa dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid sa dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid sa dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid sa dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
may hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
dalunggan ko hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
dalunggan akon hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
dalunggan ko akon hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
dalunggan akon ko hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
ko dalunggan hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
akon dalunggan hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
ko akon dalunggan hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
akon ko dalunggan hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid ko dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid akon dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid ko akon dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid gid akon ko dalunggan,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
gid hilanat gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe hilanat gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe gid hilanat gid dalunggan ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
gid hilanat gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe hilanat gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe gid hilanat gid dalunggan akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
gid hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe gid hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
gid hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
grabe gid hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
dalunggan hilanat gid,ear high fever,urgent,moderate,general,Combinatorial auto-rule,ear,active
hilanat gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ko ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid akon ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ko akon ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid akon ko ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid grabe gid ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid sa ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid sa ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid sa ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid sa ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
may hilanat gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ngabil ko hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ngabil akon hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ngabil ko akon hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ngabil akon ko hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ko ngabil hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
akon ngabil hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ko akon ngabil hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
akon ko ngabil hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ko ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid akon ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid ko akon ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid gid akon ko ngabil,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
gid hilanat gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe hilanat gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe gid hilanat gid ngabil ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
gid hilanat gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe hilanat gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe gid hilanat gid ngabil akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
gid hilanat gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe hilanat gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe gid hilanat gid ngabil ko akon,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
gid hilanat gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe hilanat gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
grabe gid hilanat gid ngabil akon ko,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
ngabil hilanat gid,lip high fever,urgent,moderate,general,Combinatorial auto-rule,lip,active
hilanat gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid ko dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid akon dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid ko akon dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid akon ko dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid grabe gid dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid sa dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid sa dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid sa dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid sa dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
may hilanat gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
dughan ko hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
dughan akon hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
dughan ko akon hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
dughan akon ko hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
ko dughan hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
akon dughan hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
ko akon dughan hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
akon ko dughan hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid ko dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid akon dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid ko akon dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid gid akon ko dughan,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
gid hilanat gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe hilanat gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe gid hilanat gid dughan ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
gid hilanat gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe hilanat gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe gid hilanat gid dughan akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
gid hilanat gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe hilanat gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe gid hilanat gid dughan ko akon,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
gid hilanat gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe hilanat gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
grabe gid hilanat gid dughan akon ko,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
dughan hilanat gid,chest high fever,urgent,moderate,general,Combinatorial auto-rule,chest,active
hilanat gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid ko pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid akon pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid ko akon pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid akon ko pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid grabe gid pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid sa pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid sa pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid sa pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid sa pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
may hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
pisngi ko hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
pisngi akon hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
pisngi ko akon hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
pisngi akon ko hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
ko pisngi hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
akon pisngi hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
ko akon pisngi hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
akon ko pisngi hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid ko pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid akon pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid ko akon pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid gid akon ko pisngi,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
gid hilanat gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe hilanat gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe gid hilanat gid pisngi ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
gid hilanat gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe hilanat gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe gid hilanat gid pisngi akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
gid hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe gid hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
gid hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
grabe gid hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
pisngi hilanat gid,cheek high fever,urgent,moderate,general,Combinatorial auto-rule,cheek,active
hilanat gid tungod ko,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid tungod akon,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid tungod ko akon,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid tungod akon ko,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid ko tungod,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid akon tungod,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid ko akon tungod,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid akon ko tungod,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid gid tungod ko,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid grabe tungod ko,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid grabe gid tungod ko,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid gid tungod akon,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
hilanat gid grabe tungod akon,throat high fever,urgent,moderate,general,Combinatorial auto-rule,throat,active
