entity,entity_type,normalized,status
Abnormal Innermost Thumb Bone,symptom,abnormal innermost thumb bone,active
Abnormal Innermost Toe Bone,symptom,abnormal innermost toe bone,active
Abnormal Insertion of Umbilical Cord,symptom,abnormal insertion of umbilical cord,active
Abnormal Insulin Level,symptom,abnormal insulin level,active
Abnormal Interatrial Septum Morphology,symptom,abnormal interatrial septum morphology,active
Abnormal Interest,symptom,abnormal interest,active
Abnormal Interest in Others,symptom,abnormal interest in others,active
Abnormal Interlobular Arterial Lumen Morphology,symptom,abnormal interlobular arterial lumen morphology,active
Abnormal Interlobular Artery Morphology,symptom,abnormal interlobular artery morphology,active
Abnormal Interlobular Vein Intima/media Morphology,symptom,abnormal interlobular vein intima/media morphology,active
Abnormal Interlobular Vein Lumen Morphology,symptom,abnormal interlobular vein lumen morphology,active
Abnormal Interlobular Vein Morphology,symptom,abnormal interlobular vein morphology,active
Abnormal Intermamillary Distance,symptom,abnormal intermamillary distance,active
Abnormal Internal Carotid Artery Morphology,symptom,abnormal internal carotid artery morphology,active
Abnormal Internal Genitalia,symptom,abnormal internal genitalia,active
Abnormal Interpretation of External Stimuli,symptom,abnormal interpretation of external stimuli,active
Abnormal Interventricular Septum Morphology,symptom,abnormal interventricular septum morphology,active
Abnormal Intervertebral Disk Morphology,symptom,abnormal intervertebral disk morphology,active
Abnormal Intestinal Smooth Muscle Morphology,symptom,abnormal intestinal smooth muscle morphology,active
Abnormal Intestine Morphology,symptom,abnormal intestine morphology,active
Abnormal Intonation,symptom,abnormal intonation,active
Abnormal Intrahepatic Bile Duct Morphology,symptom,abnormal intrahepatic bile duct morphology,active
Abnormal Intramembranous Bone Ossification,symptom,abnormal intramembranous bone ossification,active
Abnormal Intramembranous Ossification,symptom,abnormal intramembranous ossification,active
Abnormal Intraocular Pressure,symptom,abnormal intraocular pressure,active
Abnormal Intrarenal Artery Morphology,symptom,abnormal intrarenal artery morphology,active
Abnormal Intrarenal Vein Morphology,symptom,abnormal intrarenal vein morphology,active
Abnormal Intrauterine Movements,symptom,abnormal intrauterine movements,active
Abnormal Involuntary Eye Movements,symptom,abnormal involuntary eye movements,active
Abnormal Iris Pigmentation,symptom,abnormal iris pigmentation,active
Abnormal Iris Vasculature,symptom,abnormal iris vasculature,active
Abnormal Iron Deposition in Mitochondria,symptom,abnormal iron deposition in mitochondria,active
Abnormal Ischium Morphology,symptom,abnormal ischium morphology,active
Abnormal Ischium Ossification,symptom,abnormal ischium ossification,active
Abnormal Ishihara Plate Test,symptom,abnormal ishihara plate test,active
Abnormal Isoelectric Focusing of Serum Transferrin,symptom,abnormal isoelectric focusing of serum transferrin,active
"Abnormal Isoelectric Focusing of Serum Transferrin, Type I Pattern",symptom,"abnormal isoelectric focusing of serum transferrin, type i pattern",active
"Abnormal Isoelectric Focusing of Serum Transferrin, Type II Pattern",symptom,"abnormal isoelectric focusing of serum transferrin, type ii pattern",active
Abnormal Isoelectric Focusing of Transferrin,symptom,abnormal isoelectric focusing of transferrin,active
Abnormal Isohemagglutinin Level,symptom,abnormal isohemagglutinin level,active
Abnormal Isoleucine Levels in Cerebrospinal Fluid,symptom,abnormal isoleucine levels in cerebrospinal fluid,active
Abnormal Jaw Morphology,symptom,abnormal jaw morphology,active
Abnormal Jejunum Morphology,symptom,abnormal jejunum morphology,active
Abnormal Joint Cavity Morphology,symptom,abnormal joint cavity morphology,active
Abnormal Joint Morphology,symptom,abnormal joint morphology,active
Abnormal Joint Physiology,symptom,abnormal joint physiology,active
Abnormal Judgment,symptom,abnormal judgment,active
Abnormal Jugular Vein Morphology,symptom,abnormal jugular vein morphology,active
Abnormal Jugular Venous Pressure,symptom,abnormal jugular venous pressure,active
Abnormal KCO,symptom,abnormal kco,active
Abnormal Keratinocyte Morphology,symptom,abnormal keratinocyte morphology,active
Abnormal Kidney,symptom,abnormal kidney,active
Abnormal Kidney Arterial Blood Vessel Morphology,symptom,abnormal kidney arterial blood vessel morphology,active
Abnormal Kidney Artery,symptom,abnormal kidney artery,active
Abnormal Kidney Function,symptom,abnormal kidney function,active
Abnormal Kidney Location,symptom,abnormal kidney location,active
Abnormal Kidney Morphology,symptom,abnormal kidney morphology,active
Abnormal Kinetic Perimetry Test,symptom,abnormal kinetic perimetry test,active
Abnormal Kinin-kallikrein System Component Activity,symptom,abnormal kinin-kallikrein system component activity,active
Abnormal Knee Morphology,symptom,abnormal knee morphology,active
Abnormal Knee Physiology,symptom,abnormal knee physiology,active
Abnormal Kneecap,symptom,abnormal kneecap,active
Abnormal L-selectin Shedding,symptom,abnormal l-selectin shedding,active
Abnormal Labia Majora Morphology,symptom,abnormal labia majora morphology,active
Abnormal Labia Minora Morphology,symptom,abnormal labia minora morphology,active
Abnormal Labia Morphology,symptom,abnormal labia morphology,active
Abnormal Lacrimal Artery Morphology,symptom,abnormal lacrimal artery morphology,active
Abnormal Lacrimal Bone Morphology,symptom,abnormal lacrimal bone morphology,active
Abnormal Lacrimal Duct Morphology,symptom,abnormal lacrimal duct morphology,active
Abnormal Lacrimal Gland Morphology,symptom,abnormal lacrimal gland morphology,active
Abnormal Lacrimal Punctum Morphology,symptom,abnormal lacrimal punctum morphology,active
Abnormal Lacrimal Sac Morphology,symptom,abnormal lacrimal sac morphology,active
Abnormal Lactate Dehydrogenase Level,symptom,abnormal lactate dehydrogenase level,active
Abnormal Lactate Level By Magnetic Resonance Spectroscopy,symptom,abnormal lactate level by magnetic resonance spectroscopy,active
Abnormal Langerhans Cell Morphology,symptom,abnormal langerhans cell morphology,active
Abnormal Language Feature,symptom,abnormal language feature,active
Abnormal Large Bone of Ankle,symptom,abnormal large bone of ankle,active
Abnormal Large Intestinal Mucosa Morphology,symptom,abnormal large intestinal mucosa morphology,active
Abnormal Large Intestine Morphology,symptom,abnormal large intestine morphology,active
Abnormal Large Intestine Physiology,symptom,abnormal large intestine physiology,active
Abnormal Larynx Morphology,symptom,abnormal larynx morphology,active
Abnormal Larynx Physiology,symptom,abnormal larynx physiology,active
Abnormal Lateral Cricoarytenoid Muscle Morphology,symptom,abnormal lateral cricoarytenoid muscle morphology,active
Abnormal Lateral Rectus Muscle Physiology,symptom,abnormal lateral rectus muscle physiology,active
Abnormal Lateral Semicircular Canal Morphology,symptom,abnormal lateral semicircular canal morphology,active
Abnormal Lateral Ventricle Morphology,symptom,abnormal lateral ventricle morphology,active
Abnormal Layering of Muscularis Propria,symptom,abnormal layering of muscularis propria,active
Abnormal LDH Level,symptom,abnormal ldh level,active
Abnormal LDL Cholesterol Concentration,symptom,abnormal ldl cholesterol concentration,active
Abnormal LDL-C Concentration,symptom,abnormal ldl-c concentration,active
Abnormal LDL-C Level,symptom,abnormal ldl-c level,active
Abnormal LDLc Concentration,symptom,abnormal ldlc concentration,active
Abnormal Lead Level in Blood,symptom,abnormal lead level in blood,active
Abnormal Left Atrium Morphology,symptom,abnormal left atrium morphology,active
Abnormal Left Hemidiaphragm Morphology,symptom,abnormal left hemidiaphragm morphology,active
Abnormal Left Ventricle Morphology,symptom,abnormal left ventricle morphology,active
Abnormal Left Ventricular Ejection Fraction,symptom,abnormal left ventricular ejection fraction,active
Abnormal Left Ventricular End-diastolic Volume,symptom,abnormal left ventricular end-diastolic volume,active
Abnormal Left Ventricular Endsystolic Diameter,symptom,abnormal left ventricular endsystolic diameter,active
Abnormal Left Ventricular Function,symptom,abnormal left ventricular function,active
Abnormal Left Ventricular Outflow Tract Morphology,symptom,abnormal left ventricular outflow tract morphology,active
Abnormal Length of Corpus Callosum,symptom,abnormal length of corpus callosum,active
Abnormal Lens Capsule Morphology,symptom,abnormal lens capsule morphology,active
Abnormal Lens Morphology,symptom,abnormal lens morphology,active
Abnormal Leucine Levels in Cerebrospinal Fluid,symptom,abnormal leucine levels in cerebrospinal fluid,active
Abnormal Leukocyte Count,symptom,abnormal leukocyte count,active
Abnormal Leukocyte Enzyme Concentration or Activity,symptom,abnormal leukocyte enzyme concentration or activity,active
Abnormal Leukocyte Migration,symptom,abnormal leukocyte migration,active
Abnormal Leukocyte Morphology,symptom,abnormal leukocyte morphology,active
Abnormal Leukocyte Physiology,symptom,abnormal leukocyte physiology,active
Abnormal Levator Palpebrae Superioris Morphology,symptom,abnormal levator palpebrae superioris morphology,active
Abnormal Level of Blood Mineral,symptom,abnormal level of blood mineral,active
Abnormal Level of Enzymes in Cerebrospinal Fluid,symptom,abnormal level of enzymes in cerebrospinal fluid,active
Abnormal Level of Enzymes in Specimens From Oth Org/tiss,symptom,abnormal level of enzymes in specimens from oth org/tiss,active
Abnormal Level of Enzymes in Specimens From Resp Org/thrx,symptom,abnormal level of enzymes in specimens from resp org/thrx,active
Abnormal Level of Hormones in Cerebrospinal Fluid,symptom,abnormal level of hormones in cerebrospinal fluid,active
Abnormal Level of Hormones in Specimens From Oth Org/tiss,symptom,abnormal level of hormones in specimens from oth org/tiss,active
Abnormal Level of Hormones in Specimens From Resp Org/thrx,symptom,abnormal level of hormones in specimens from resp org/thrx,active
Abnormal Level of Lymph-node Cellular CD19 Expression,symptom,abnormal level of lymph-node cellular cd19 expression,active
Abnormal Level of Lymph-node Cellular CD20 Expression,symptom,abnormal level of lymph-node cellular cd20 expression,active
Abnormal Level of Natural Antibody to Blood Group Agents,symptom,abnormal level of natural antibody to blood group agents,active
Abnormal Level of PAF,symptom,abnormal level of paf,active
Abnormal Level of Phospholipids,symptom,abnormal level of phospholipids,active
Abnormal Level of Platelet-activating Factor,symptom,abnormal level of platelet-activating factor,active
Abnormal Level of Proteins in the Broncho-alveolar Fluid,symptom,abnormal level of proteins in the broncho-alveolar fluid,active
Abnormal Levels of Creatine Kinase in Blood,symptom,abnormal levels of creatine kinase in blood,active
Abnormal Levels of Other Serum Enzymes,symptom,abnormal levels of other serum enzymes,active
Abnormal Lexical Patterns,symptom,abnormal lexical patterns,active
Abnormal Libido,symptom,abnormal libido,active
Abnormal Light- and Dark-adapted Electroretinogram,symptom,abnormal light- and dark-adapted electroretinogram,active
Abnormal Light-adapted 30Hz Flicker Electroretinogram,symptom,abnormal light-adapted 30hz flicker electroretinogram,active
Abnormal Light-adapted 30Hz Flicker ERG,symptom,abnormal light-adapted 30hz flicker erg,active
Abnormal Light-adapted Electroretinogram,symptom,abnormal light-adapted electroretinogram,active
Abnormal Light-adapted Flicker Electroretinogram,symptom,abnormal light-adapted flicker electroretinogram,active
Abnormal Light-adapted Flicker ERG,symptom,abnormal light-adapted flicker erg,active
Abnormal Light-adapted Single Flash Electroretinogram,symptom,abnormal light-adapted single flash electroretinogram,active
Abnormal Limb Bone Morphology,symptom,abnormal limb bone morphology,active
Abnormal Limb Epiphysis Morphology,symptom,abnormal limb epiphysis morphology,active
Abnormal Limb Muscles,symptom,abnormal limb muscles,active
Abnormal Limbs,symptom,abnormal limbs,active
Abnormal Line of Schwalbe Morphology,symptom,abnormal line of schwalbe morphology,active
Abnormal Lingual Artery Morphology,symptom,abnormal lingual artery morphology,active
Abnormal Lingual Nerve Morphology,symptom,abnormal lingual nerve morphology,active
Abnormal Lip,symptom,abnormal lip,active
Abnormal Lip Morphology,symptom,abnormal lip morphology,active
Abnormal Lip Pigmentation,symptom,abnormal lip pigmentation,active
Abnormal Liver,symptom,abnormal liver,active
Abnormal Liver Enzyme Activity or Concentration,symptom,abnormal liver enzyme activity or concentration,active
Abnormal Liver Enzymes,symptom,abnormal liver enzymes,active
Abnormal Liver Function,symptom,abnormal liver function,active
Abnormal Liver Function Tests,symptom,abnormal liver function tests,active
Abnormal Liver Function Tests During Pregnancy,symptom,abnormal liver function tests during pregnancy,active
Abnormal Liver Iron Concentration,symptom,abnormal liver iron concentration,active
Abnormal Liver Iron Level,symptom,abnormal liver iron level,active
Abnormal Liver Lobulation,symptom,abnormal liver lobulation,active
Abnormal Liver Metabolite Concentration,symptom,abnormal liver metabolite concentration,active
Abnormal Liver Morphology,symptom,abnormal liver morphology,active
Abnormal Liver Parenchyma Morphology,symptom,abnormal liver parenchyma morphology,active
Abnormal Liver Physiology,symptom,abnormal liver physiology,active
Abnormal Liver Sonography,symptom,abnormal liver sonography,active
Abnormal Lobe of Ear,symptom,abnormal lobe of ear,active
Abnormal Localisation of Kidneys,symptom,abnormal localisation of kidneys,active
Abnormal Localization of Kidney,symptom,abnormal localization of kidney,active
Abnormal Location of Ears,symptom,abnormal location of ears,active
Abnormal Location of Eyebrows,symptom,abnormal location of eyebrows,active
Abnormal Location of Hair Swirl,symptom,abnormal location of hair swirl,active
Abnormal Location of Heart Atrium,symptom,abnormal location of heart atrium,active
Abnormal Location of the Eyebrow,symptom,abnormal location of the eyebrow,active
Abnormal Long Bone Morphology,symptom,abnormal long bone morphology,active
Abnormal Lower Cranial Nerve Function,symptom,abnormal lower cranial nerve function,active
Abnormal Lower Limb Bone Morphology,symptom,abnormal lower limb bone morphology,active
Abnormal Lower Limb Epiphysis Morphology,symptom,abnormal lower limb epiphysis morphology,active
Abnormal Lower Lip Morphology,symptom,abnormal lower lip morphology,active
Abnormal Lower Motor Neuron Morphology,symptom,abnormal lower motor neuron morphology,active
Abnormal Lower-limb Metaphysis Morphology,symptom,abnormal lower-limb metaphysis morphology,active
Abnormal Lower-limb Motor Evoked Potentials,symptom,abnormal lower-limb motor evoked potentials,active
Abnormal Lumbar Spine Morphology,symptom,abnormal lumbar spine morphology,active
Abnormal Lunate Bone Morphology,symptom,abnormal lunate bone morphology,active
Abnormal Lung Auscultation Finding,symptom,abnormal lung auscultation finding,active
Abnormal Lung Development,symptom,abnormal lung development,active
Abnormal Lung Lobation,symptom,abnormal lung lobation,active
Abnormal Lung Morphology,symptom,abnormal lung morphology,active
Abnormal Lung Parenchyma Morphology,symptom,abnormal lung parenchyma morphology,active
Abnormal Luteinizing Hormone Level,symptom,abnormal luteinizing hormone level,active
Abnormal Lymph Node Cell Composition,symptom,abnormal lymph node cell composition,active
Abnormal Lymph Node Histology,symptom,abnormal lymph node histology,active
Abnormal Lymph Node Mantle Zone Morphology,symptom,abnormal lymph node mantle zone morphology,active
Abnormal Lymph Node Marginal Zone Morphology,symptom,abnormal lymph node marginal zone morphology,active
Abnormal Lymph Node Morphology,symptom,abnormal lymph node morphology,active
Abnormal Lymph-node Biospecimen,symptom,abnormal lymph-node biospecimen,active
Abnormal Lymph-node Cellular Antigen Expression,symptom,abnormal lymph-node cellular antigen expression,active
Abnormal Lymph-node Cellular B-cell Marker Expression,symptom,abnormal lymph-node cellular b-cell marker expression,active
Abnormal Lymph-node Cellular Finding,symptom,abnormal lymph-node cellular finding,active
Abnormal Lymph-node Follicle Architecture,symptom,abnormal lymph-node follicle architecture,active
Abnormal Lymph-node Germinal Center Morphology,symptom,abnormal lymph-node germinal center morphology,active
Abnormal Lymph-node Lymphoctye Nuclear Morphology,symptom,abnormal lymph-node lymphoctye nuclear morphology,active
Abnormal Lymph-node Lymphocyte Chromatin,symptom,abnormal lymph-node lymphocyte chromatin,active
Abnormal Lymph-node Lymphocyte Cytoplasm Morphology,symptom,abnormal lymph-node lymphocyte cytoplasm morphology,active
Abnormal Lymph-node Marginal or Mantle Zone Morphology,symptom,abnormal lymph-node marginal or mantle zone morphology,active
Abnormal Lymph-node Tissue Architecture,symptom,abnormal lymph-node tissue architecture,active
Abnormal Lymphatic Vessel Morphology,symptom,abnormal lymphatic vessel morphology,active
Abnormal Lymphocyte Count,symptom,abnormal lymphocyte count,active
Abnormal Lymphocyte Counts,symptom,abnormal lymphocyte counts,active
Abnormal Lymphocyte Morphology,symptom,abnormal lymphocyte morphology,active
Abnormal Lymphocyte Physiology,symptom,abnormal lymphocyte physiology,active
Abnormal Lymphocyte Proliferation,symptom,abnormal lymphocyte proliferation,active
Abnormal Lymphocyte Surface Marker Expression,symptom,abnormal lymphocyte surface marker expression,active
Abnormal Lymphocytes,symptom,abnormal lymphocytes,active
Abnormal Lysine Levels in Cerebrospinal Fluid,symptom,abnormal lysine levels in cerebrospinal fluid,active
Abnormal Lysosomal Morphology,symptom,abnormal lysosomal morphology,active
Abnormal Macrophage Count,symptom,abnormal macrophage count,active
Abnormal Macrophage Morphology,symptom,abnormal macrophage morphology,active
Abnormal Macroscopic Urine Appearance,symptom,abnormal macroscopic urine appearance,active
Abnormal Macular Morphology,symptom,abnormal macular morphology,active
Abnormal Macular Pigmentation,symptom,abnormal macular pigmentation,active
Abnormal Macular Vasculature Morphology,symptom,abnormal macular vasculature morphology,active
Abnormal Magnesium Concentration,symptom,abnormal magnesium concentration,active
Abnormal Major Histocompatibility Complex Class II Surface Expression,symptom,abnormal major histocompatibility complex class ii surface expression,active
Abnormal Malar Bone Morphology,symptom,abnormal malar bone morphology,active
Abnormal Male External Genitalia Morphology,symptom,abnormal male external genitalia morphology,active
Abnormal Male Genitals,symptom,abnormal male genitals,active
Abnormal Male Germ Cell Morphology,symptom,abnormal male germ cell morphology,active
Abnormal Male Internal Genitalia Morphology,symptom,abnormal male internal genitalia morphology,active
Abnormal Male Reproductive System Physiology,symptom,abnormal male reproductive system physiology,active
Abnormal Male Urethral Meatus Morphology,symptom,abnormal male urethral meatus morphology,active
Abnormal Malleus Morphology,symptom,abnormal malleus morphology,active
Abnormal Mandible Condylar Process Morphology,symptom,abnormal mandible condylar process morphology,active
Abnormal Mandible Coronoid Process Morphology,symptom,abnormal mandible coronoid process morphology,active
Abnormal Mandible Morphology,symptom,abnormal mandible morphology,active
Abnormal Mandibular Ramus Morphology,symptom,abnormal mandibular ramus morphology,active
Abnormal Mandibular Symphysis Morphology,symptom,abnormal mandibular symphysis morphology,active
Abnormal Manganese Concentration,symptom,abnormal manganese concentration,active
Abnormal Mannosylation of N-linked Protein Glycosylation,symptom,abnormal mannosylation of n-linked protein glycosylation,active
Abnormal Manual Kinetic Perimetry Test,symptom,abnormal manual kinetic perimetry test,active
Abnormal Marker Expression,symptom,abnormal marker expression,active
Abnormal Mast Cell Morphology,symptom,abnormal mast cell morphology,active
Abnormal Mastoid Morphology,symptom,abnormal mastoid morphology,active
Abnormal Maternal Serum Screening,symptom,abnormal maternal serum screening,active
Abnormal Maturation of Breastbone,symptom,abnormal maturation of breastbone,active
Abnormal Maturation of Long Bone in Upper Arm,symptom,abnormal maturation of long bone in upper arm,active
Abnormal Maturation of Long Bone of Hand,symptom,abnormal maturation of long bone of hand,active
Abnormal Maxilla Morphology,symptom,abnormal maxilla morphology,active
Abnormal MCH,symptom,abnormal mch,active
Abnormal MCHC,symptom,abnormal mchc,active
Abnormal MCV,symptom,abnormal mcv,active
Abnormal Mean Corpuscular Haemoglobin,symptom,abnormal mean corpuscular haemoglobin,active
Abnormal Mean Corpuscular Haemoglobin Concentration,symptom,abnormal mean corpuscular haemoglobin concentration,active
Abnormal Mean Corpuscular Hb Concentration,symptom,abnormal mean corpuscular hb concentration,active
Abnormal Mean Corpuscular Hemoglobin Concentration,symptom,abnormal mean corpuscular hemoglobin concentration,active
Abnormal Mean Corpuscular Volume,symptom,abnormal mean corpuscular volume,active
Abnormal Medial Epicondyle Morphology,symptom,abnormal medial epicondyle morphology,active
Abnormal Medial Rectus Muscle Physiology,symptom,abnormal medial rectus muscle physiology,active
Abnormal Mediastinum Morphology,symptom,abnormal mediastinum morphology,active
Abnormal Medulla Oblongata Morphology,symptom,abnormal medulla oblongata morphology,active
Abnormal Medullary Peritubular Capillary Lumen Morphology,symptom,abnormal medullary peritubular capillary lumen morphology,active
Abnormal Medullary Peritubular Capillary Morphology,symptom,abnormal medullary peritubular capillary morphology,active
Abnormal Medullary Pyramid Morphology,symptom,abnormal medullary pyramid morphology,active
Abnormal Megakaryocyte Morphology,symptom,abnormal megakaryocyte morphology,active
Abnormal Meiosis,symptom,abnormal meiosis,active
Abnormal Memory B Cell Proportion,symptom,abnormal memory b cell proportion,active
Abnormal Memory CD8+ T Cell Proportion,symptom,abnormal memory cd8+ t cell proportion,active
Abnormal Memory T Cell Proportion,symptom,abnormal memory t cell proportion,active
Abnormal Meningeal Morphology,symptom,abnormal meningeal morphology,active
Abnormal Meniscus Morphology,symptom,abnormal meniscus morphology,active
Abnormal Mesentery Morphology,symptom,abnormal mesentery morphology,active
Abnormal Metabolic Brain Imaging By MRS,symptom,abnormal metabolic brain imaging by mrs,active
Abnormal Metabolic Cart Test,symptom,abnormal metabolic cart test,active
Abnormal Metabolism,symptom,abnormal metabolism,active
Abnormal Metacarpal Epiphysis Morphology,symptom,abnormal metacarpal epiphysis morphology,active
Abnormal Metacarpal Morphology,symptom,abnormal metacarpal morphology,active
Abnormal Metacarpal Ossification,symptom,abnormal metacarpal ossification,active
Abnormal Metacarpophalangeal Joint Morphology,symptom,abnormal metacarpophalangeal joint morphology,active
Abnormal Metaphyseal Trabeculation,symptom,abnormal metaphyseal trabeculation,active
Abnormal Metaphyseal Vascular Invasion,symptom,abnormal metaphyseal vascular invasion,active
Abnormal Metaphysis Morphology,symptom,abnormal metaphysis morphology,active
Abnormal Metatarsal Epiphysis Morphology,symptom,abnormal metatarsal epiphysis morphology,active
Abnormal Metatarsal Morphology,symptom,abnormal metatarsal morphology,active
Abnormal Metatarsal Ossification,symptom,abnormal metatarsal ossification,active
Abnormal Metencephalon Morphology,symptom,abnormal metencephalon morphology,active
Abnormal Methacholine Challenge Test,symptom,abnormal methacholine challenge test,active
Abnormal Methionine Levels in Cerebrospinal Fluid,symptom,abnormal methionine levels in cerebrospinal fluid,active
Abnormal Mg Concentration,symptom,abnormal mg concentration,active
Abnormal MHC II Cell Surface Expression,symptom,abnormal mhc ii cell surface expression,active
Abnormal MHC Surface Expression,symptom,abnormal mhc surface expression,active
Abnormal Microbiolog Findings in Specimens From Oth Org/tiss,symptom,abnormal microbiolog findings in specimens from oth org/tiss,active
Abnormal Microbiolog Findings in Specmn From Resp Org/thrx,symptom,abnormal microbiolog findings in specmn from resp org/thrx,active
Abnormal Microbiological Findings in Cerebrospinal Fluid,symptom,abnormal microbiological findings in cerebrospinal fluid,active
Abnormal Microglia Morphology,symptom,abnormal microglia morphology,active
Abnormal Midbrain Morphology,symptom,abnormal midbrain morphology,active
Abnormal Middle Bone of Ring Finger,symptom,abnormal middle bone of ring finger,active
Abnormal Middle Bones of Toe,symptom,abnormal middle bones of toe,active
Abnormal Middle Ear Morphology,symptom,abnormal middle ear morphology,active
Abnormal Middle Ear Reflexes,symptom,abnormal middle ear reflexes,active
Abnormal Middle Finger Bone of the Middle Finger,symptom,abnormal middle finger bone of the middle finger,active
Abnormal Middle Index Finger Bone,symptom,abnormal middle index finger bone,active
Abnormal Middle Phalanx Morphology of the Hand,symptom,abnormal middle phalanx morphology of the hand,active
Abnormal Middle-ear-muscles (MEM) Reflex,symptom,abnormal middle-ear-muscles (mem) reflex,active
Abnormal Midface Morphology,symptom,abnormal midface morphology,active
Abnormal Migration of Corneal Endothelium,symptom,abnormal migration of corneal endothelium,active
Abnormal Mitochondria in Muscle,symptom,abnormal mitochondria in muscle,active
Abnormal Mitochondria in Muscle Tissue,symptom,abnormal mitochondria in muscle tissue,active
Abnormal Mitochondrial Morphology,symptom,abnormal mitochondrial morphology,active
Abnormal Mitochondrial Number,symptom,abnormal mitochondrial number,active
Abnormal Mitochondrial Proliferation in Podocytes,symptom,abnormal mitochondrial proliferation in podocytes,active
Abnormal Mitochondrial Shape,symptom,abnormal mitochondrial shape,active
Abnormal Mitochondrion Morphology,symptom,abnormal mitochondrion morphology,active
Abnormal Mitral Valve Annulus Morphology,symptom,abnormal mitral valve annulus morphology,active
Abnormal Mitral Valve Leaflet Morphology,symptom,abnormal mitral valve leaflet morphology,active
Abnormal Mitral Valve Morphology,symptom,abnormal mitral valve morphology,active
Abnormal Mitral Valve Physiology,symptom,abnormal mitral valve physiology,active
Abnormal Mixed Venous Oxygen Saturation,symptom,abnormal mixed venous oxygen saturation,active
Abnormal Molar Morphology,symptom,abnormal molar morphology,active
Abnormal Monocyte Count,symptom,abnormal monocyte count,active
Abnormal Monocyte Morphology,symptom,abnormal monocyte morphology,active
Abnormal Monocyte Number,symptom,abnormal monocyte number,active
Abnormal Morphology of Bones of the Lower Limbs,symptom,abnormal morphology of bones of the lower limbs,active
Abnormal Morphology of Bones of the Upper Limbs,symptom,abnormal morphology of bones of the upper limbs,active
Abnormal Morphology of Bony Orbit of Skull,symptom,abnormal morphology of bony orbit of skull,active
Abnormal Morphology of Bowman Capsule,symptom,abnormal morphology of bowman capsule,active
Abnormal Morphology of Bowman's Capsule,symptom,abnormal morphology of bowman's capsule,active
Abnormal Morphology of Erythroid Progenitor Cell,symptom,abnormal morphology of erythroid progenitor cell,active
Abnormal Morphology of Female Internal Genitalia,symptom,abnormal morphology of female internal genitalia,active
Abnormal Morphology of Left Ventricular Trabeculae,symptom,abnormal morphology of left ventricular trabeculae,active
Abnormal Morphology of Musculature of Pharynx,symptom,abnormal morphology of musculature of pharynx,active
Abnormal Morphology of Myocardial Trabeculae,symptom,abnormal morphology of myocardial trabeculae,active
Abnormal Morphology of Phalanx of the 2nd Toe,symptom,abnormal morphology of phalanx of the 2nd toe,active
Abnormal Morphology of Right Ventricular Trabeculae,symptom,abnormal morphology of right ventricular trabeculae,active
Abnormal Morphology of the Abdominal Musculature,symptom,abnormal morphology of the abdominal musculature,active
Abnormal Morphology of the Amygdala,symptom,abnormal morphology of the amygdala,active
Abnormal Morphology of the Cerebellar Cortex,symptom,abnormal morphology of the cerebellar cortex,active
Abnormal Morphology of the Chest Musculature,symptom,abnormal morphology of the chest musculature,active
Abnormal Morphology of the Chordae Tendinae of the Mitral Valve,symptom,abnormal morphology of the chordae tendinae of the mitral valve,active
Abnormal Morphology of the Choroidal Vasculature,symptom,abnormal morphology of the choroidal vasculature,active
Abnormal Morphology of the Conjunctiva Vasculature,symptom,abnormal morphology of the conjunctiva vasculature,active
Abnormal Morphology of the Conjunctival Vasculature,symptom,abnormal morphology of the conjunctival vasculature,active
Abnormal Morphology of the Cortex of the Humerus,symptom,abnormal morphology of the cortex of the humerus,active
Abnormal Morphology of the Face,symptom,abnormal morphology of the face,active
Abnormal Morphology of the Frontal Region,symptom,abnormal morphology of the frontal region,active
Abnormal Morphology of the Great Vessels,symptom,abnormal morphology of the great vessels,active
Abnormal Morphology of the Hippocampus,symptom,abnormal morphology of the hippocampus,active
Abnormal Morphology of the Interlobular Vein Lumen,symptom,abnormal morphology of the interlobular vein lumen,active
Abnormal Morphology of the Limbic System,symptom,abnormal morphology of the limbic system,active
Abnormal Morphology of the Macular Vasculature,symptom,abnormal morphology of the macular vasculature,active
Abnormal Morphology of the Midface,symptom,abnormal morphology of the midface,active
Abnormal Morphology of the Musculature of the Neck,symptom,abnormal morphology of the musculature of the neck,active
Abnormal Morphology of the Nasal Alae,symptom,abnormal morphology of the nasal alae,active
Abnormal Morphology of the Olfactory Bulb,symptom,abnormal morphology of the olfactory bulb,active
Abnormal Morphology of the Palpebral Fissure,symptom,abnormal morphology of the palpebral fissure,active
Abnormal Morphology of the Pelvis Musculature,symptom,abnormal morphology of the pelvis musculature,active
Abnormal Morphology of the Posterior Segment of the Globe,symptom,abnormal morphology of the posterior segment of the globe,active
Abnormal Morphology of the Proximal Phalanx of the 2nd Toe,symptom,abnormal morphology of the proximal phalanx of the 2nd toe,active
Abnormal Morphology of the Proximal Phalanx of the 3rd Toe,symptom,abnormal morphology of the proximal phalanx of the 3rd toe,active
Abnormal Morphology of the Proximal Phalanx of the 4th Toe,symptom,abnormal morphology of the proximal phalanx of the 4th toe,active
Abnormal Morphology of the Proximal Phalanx of the 5th Toe,symptom,abnormal morphology of the proximal phalanx of the 5th toe,active
Abnormal Morphology of the Proximal Phalanx of the Hallux,symptom,abnormal morphology of the proximal phalanx of the hallux,active
Abnormal Morphology of the Radius,symptom,abnormal morphology of the radius,active
