symptom_key,aliases,display_name,category,tip_1,tip_2,tip_3,tip_4,when_to_seek_care,resource_label,resource_url,active
holiday_lip_crack,holiday bitak labi|holiday lip_crack|holiday cracked lips,Holiday cracked lips,skin,Plain balm often; hydrate; avoid licking.,For holiday cracked lips: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Skin conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_jaw_tight,holiday kuyom panga|holiday jaw_tight|holiday jaw tightness,Holiday jaw tightness,dental,Soft foods; warm compress; avoid gum; notice clenching.,For holiday jaw tightness: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",NHS: Toothache / mouth care,https://www.nhs.uk/conditions/toothache/,1
holiday_tooth_zing,holiday ngilo bigla|holiday tooth_zing|holiday tooth zing,Holiday tooth zing,dental,Avoid extremes of temperature; desensitizing toothpaste; soft brush.,For holiday tooth zing: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",NIH: Health Information,https://www.nih.gov/health-information,1
holiday_gum_tender,holiday masakit gilagid|holiday gum_tender|holiday tender gums,Holiday tender gums,dental,Saltwater rinse; gentle floss; soft brush.,For holiday tender gums: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",NHS: Toothache / mouth care,https://www.nhs.uk/conditions/toothache/,1
holiday_neck_kink,holiday pilay leeg|holiday neck_kink|holiday neck kink,Holiday neck kink,musculoskeletal,Gentle motion within comfort; heat; avoid forcing range.,For holiday neck kink: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Neck pain,https://www.nhs.uk/conditions/neck-pain/,1
holiday_trap_knot,holiday buhol balikat|holiday trap_knot|holiday trapezius knot,Holiday trapezius knot,musculoskeletal,Heat; posture breaks; light stretches; reduce shrug.,For holiday trapezius knot: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
holiday_wrist_twinge,holiday sakit pulso konti|holiday wrist_twinge|holiday wrist twinge,Holiday wrist twinge,musculoskeletal,Neutral wrist; rest from repetitive tasks; ice if sore.,For holiday wrist twinge: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
holiday_finger_stiff,holiday naninigas daliri|holiday finger_stiff|holiday finger stiffness,Holiday finger stiffness,musculoskeletal,Gentle fist open-close; warm water soak; avoid forced cracking.,For holiday finger stiffness: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Flatulence / IBS,https://www.nhs.uk/conditions/flatulence/,1
holiday_knee_click_ache,holiday putok tuhod sakit|holiday knee_click_ache|holiday knee click ache,Holiday knee click ache,musculoskeletal,Reduce deep squats briefly; ice after activity; supportive shoes.,For holiday knee click ache: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",National Nutrition Council (NNC),https://nnc.gov.ph/,1
holiday_heel_rub,holiday hapdi sakong|holiday heel_rub|holiday heel rub,Holiday heel rub,first_aid,Tape early; better socks/shoes; keep skin clean if blistered.,For holiday heel rub: clean gently with clean water and pat dry.,Cover with a clean dressing if the skin is open.,"Check daily for spreading redness, pus, or fever.","Seek care for uncontrolled bleeding, deep wounds, infection signs, or bites needing assessment.",NHS: Sprains and strains / joint pain,https://www.nhs.uk/conditions/sprains-and-strains/,1
holiday_arch_tired,holiday pagod arko paa|holiday arch_tired|holiday tired foot arch,Holiday tired foot arch,musculoskeletal,Elevate; supportive shoes; gentle towel-scrunch exercises.,For holiday tired foot arch: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Sprains and strains / joint pain,https://www.nhs.uk/conditions/sprains-and-strains/,1
holiday_calf_tight,holiday higpit betis|holiday calf_tight|holiday tight calf,Holiday tight calf,musculoskeletal,Gentle stretch after warm-up; hydrate; ease sudden hills/sprints.,For holiday tight calf: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
holiday_hip_pinch,holiday hapdi balakang|holiday hip_pinch|holiday hip pinch,Holiday hip pinch,musculoskeletal,Stand breaks; avoid end-range forcing; pillow support when sleeping.,For holiday hip pinch: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Sprains and strains / joint pain,https://www.nhs.uk/conditions/sprains-and-strains/,1
holiday_si_ache,holiday sakit si joint mild|holiday si_ache|holiday SI-area ache,Holiday SI-area ache,musculoskeletal,Avoid asymmetric loads; short walks; heat for stiffness.,For holiday si-area ache: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Joint pain,https://www.nhs.uk/conditions/joint-pain/,1
holiday_skin_flush,holiday pamumula balat|holiday skin_flush|holiday skin flush,Holiday skin flush,skin,Cool environment; loose clothes; note heat/spice/alcohol triggers.,For holiday skin flush: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Common cold,https://www.nhs.uk/conditions/common-cold/,1
holiday_itch_patch,holiday kati patch|holiday itch_patch|holiday itchy skin patch,Holiday itchy skin patch,skin,Do not scratch; moisturizer; cool compress; short nails.,For holiday itchy skin patch: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_sweat_sting,holiday hapdi pawis|holiday sweat_sting|holiday sweat sting on skin,Holiday sweat sting on skin,skin,Rinse sweat; dry folds; breathable fabrics.,For holiday sweat sting on skin: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
holiday_chafed_thigh,holiday gasgas hita|holiday chafed_thigh|holiday thigh chafe,Holiday thigh chafe,skin,Barrier balm; moisture-wicking shorts; change damp clothes.,For holiday thigh chafe: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Flatulence / IBS,https://www.nhs.uk/conditions/flatulence/,1
holiday_mosquito_cluster,holiday maraming kagat lamok|holiday mosquito_cluster|holiday many mosquito bites,Holiday many mosquito bites,skin,Cool compress; avoid scratching; repellent/nets going forward.,For holiday many mosquito bites: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_ant_bite_cluster,holiday kagat langgam|holiday ant_bite_cluster|holiday ant bites,Holiday ant bites,skin,Wash; cool compress; anti-itch lotion if suitable.,For holiday ant bites: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Skin conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_bee_near_anxiety,holiday takot bubuyog|holiday bee_near_anxiety|holiday bee-near anxiety,Holiday bee-near anxiety,mental_health,Move calmly away; slow breathing; seek care only if stung with severe symptoms.,For holiday bee-near anxiety: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",NHS: Earache,https://www.nhs.uk/conditions/earache/,1
holiday_dehydrate_thirst,holiday uhaw dehydr|holiday dehydrate_thirst|holiday strong thirst,Holiday strong thirst,general,Sip water or ORS steadily; rest in shade if hot.,For holiday strong thirst: track symptoms in a simple note for your clinician.,Use only labeled remedies appropriate for your age and conditions.,Avoid sharing prescription medicines meant for someone else.,"Seek care if symptoms worsen, you become unsure, or red-flag signs appear — you may see a clinician anytime.",CDC: Extreme heat / rehydration,https://www.cdc.gov/extreme-heat/prevention/index.html,1
holiday_heat_flush,holiday init katawan|holiday heat_flush|holiday heat flush,Holiday heat flush,general,Cool place; loosen clothes; sip fluids; seek urgent care if confused.,For holiday heat flush: track symptoms in a simple note for your clinician.,Use only labeled remedies appropriate for your age and conditions.,Avoid sharing prescription medicines meant for someone else.,"Seek care if symptoms worsen, you become unsure, or red-flag signs appear — you may see a clinician anytime.",NHS: Common cold,https://www.nhs.uk/conditions/common-cold/,1
holiday_chill_shiver,holiday giniginaw mild|holiday chill_shiver|holiday mild chills,Holiday mild chills,general,Light layers; warm fluids; check temperature; rest.,For holiday mild chills: track symptoms in a simple note for your clinician.,Use only labeled remedies appropriate for your age and conditions.,Avoid sharing prescription medicines meant for someone else.,"Seek care if symptoms worsen, you become unsure, or red-flag signs appear — you may see a clinician anytime.",DOH Philippines,https://doh.gov.ph/,1
holiday_low_energy,holiday walang energy|holiday low_energy|holiday low energy,Holiday low energy,general,Short rest; balanced snack; protect sleep; light outdoor walk if able.,For holiday low energy: track symptoms in a simple note for your clinician.,Use only labeled remedies appropriate for your age and conditions.,Avoid sharing prescription medicines meant for someone else.,"Seek care if symptoms worsen, you become unsure, or red-flag signs appear — you may see a clinician anytime.",FDA Philippines,https://www.fda.gov.ph/,1
holiday_brain_fog,holiday malabo isip|holiday brain_fog|holiday brain fog,Holiday brain fog,mental_health,Hydrate; short break outdoors; reduce multitasking; sleep priority.,For holiday brain fog: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",NIH: Health Information,https://www.nih.gov/health-information,1
holiday_irritable_mood,holiday iritable|holiday irritable_mood|holiday irritable mood,Holiday irritable mood,mental_health,Pause before reacting; snack/water/sleep check; short walk.,For holiday irritable mood: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_worry_loop,holiday alala loop|holiday worry_loop|holiday worry loop,Holiday worry loop,mental_health,Write worries down; 4-6 breathing; talk to a trusted person.,For holiday worry loop: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
holiday_social_drain,holiday pagod makipagusap|holiday social_drain|holiday social drain,Holiday social drain,mental_health,Schedule quiet recovery time; shorten next social block; rest voice.,For holiday social drain: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
holiday_crowd_overwhelm,holiday overwhelm crowd|holiday crowd_overwhelm|holiday crowd overwhelm,Holiday crowd overwhelm,mental_health,Step to the edge; buddy system; slow breathing; exit early if needed.,For holiday crowd overwhelm: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",NHS: Mental health,https://www.nhs.uk/mental-health/,1
holiday_noise_overload,holiday sobra ingay|holiday noise_overload|holiday noise overload,Holiday noise overload,mental_health,Earplugs or quieter space; limit exposure; rest in calm room.,For holiday noise overload: talk with a trusted person; limit alcohol.,Use slow breathing for 2–3 minutes during peaks.,Break tasks into small steps and ask for practical help.,"Seek urgent help for thoughts of self-harm, inability to stay safe, or severe new chest pain with panic.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
holiday_bright_light_sens,holiday sensitive liwanag|holiday bright_light_sens|holiday bright-light sensitivity,Holiday bright-light sensitivity,eye,Shade/sunglasses; dim screens; rest in softer light.,For holiday bright-light sensitivity: use cool clean compresses for comfort if helpful.,Reduce screen glare and take regular visual breaks.,Stop contact lenses until the eye feels normal again.,"Seek care for vision loss, severe pain, light sensitivity, chemical splash, or newborn eye symptoms.",NHS: Eye health / dry eyes,https://www.nhs.uk/conditions/dry-eyes/,1
holiday_screen_glare,holiday silaw screen|holiday screen_glare|holiday screen glare,Holiday screen glare,eye,Adjust angle/brightness; matte filter if helpful; 20-20-20.,For holiday screen glare: use cool clean compresses for comfort if helpful.,Reduce screen glare and take regular visual breaks.,Stop contact lenses until the eye feels normal again.,"Seek care for vision loss, severe pain, light sensitivity, chemical splash, or newborn eye symptoms.",American Academy of Family Physicians (AAFP),https://www.aafp.org/,1
holiday_dry_contact_lens,holiday tuyong contact|holiday dry_contact_lens|holiday dry contact lenses,Holiday dry contact lenses,eye,Remove lenses; use glasses; rewet only with proper solution/drops.,For holiday dry contact lenses: use cool clean compresses for comfort if helpful.,Reduce screen glare and take regular visual breaks.,Stop contact lenses until the eye feels normal again.,"Seek care for vision loss, severe pain, light sensitivity, chemical splash, or newborn eye symptoms.",NIH: Health Information,https://www.nih.gov/health-information,1
holiday_bladder_urge,holiday urgent ihi|holiday bladder_urge|holiday urinary urgency,Holiday urinary urgency,urinary,Timed voids; reduce late caffeine; seek care for burning/fever.,For holiday urinary urgency: do not delay urination for long periods.,Wipe front to back; keep the area clean and dry.,Limit excess caffeine and alcohol briefly if they worsen symptoms.,"Seek care for fever, flank pain, blood in urine, pregnancy, male symptoms, or symptoms lasting >1–2 days.",NHS: UTIs,https://www.nhs.uk/conditions/urinary-tract-infections-utis/,1
holiday_holding_urine,holiday tinitiis ihi|holiday holding_urine|holiday holding urine too long,Holiday holding urine too long,urinary,Do not habitually delay voids; hydrate steadily; bathroom breaks.,For holiday holding urine too long: do not delay urination for long periods.,Wipe front to back; keep the area clean and dry.,Limit excess caffeine and alcohol briefly if they worsen symptoms.,"Seek care for fever, flank pain, blood in urine, pregnancy, male symptoms, or symptoms lasting >1–2 days.",NHS: UTIs,https://www.nhs.uk/conditions/urinary-tract-infections-utis/,1
holiday_period_twinge,holiday konting pulikat regla|holiday period_twinge|holiday period twinge,Holiday period twinge,womens_health,Warm compress; gentle stretch; labeled OTC if suitable.,For holiday period twinge: stay hydrated and eat regular light meals.,Track timing and severity for your next visit.,Avoid starting new medicines without advice if pregnancy is possible.,"Seek care for heavy bleeding, severe pain, fainting, fever, or pregnancy-related warning signs.",NHS: Women's / pregnancy / baby health,https://www.nhs.uk/conditions/pregnancy-and-baby/,1
holiday_breast_tender_cycle,holiday masakit suso cycle|holiday breast_tender_cycle|holiday cyclic breast tenderness,Holiday cyclic breast tenderness,womens_health,Supportive bra; warm/cool compress; track with cycle.,For holiday cyclic breast tenderness: stay hydrated and eat regular light meals.,Track timing and severity for your next visit.,Avoid starting new medicines without advice if pregnancy is possible.,"Seek care for heavy bleeding, severe pain, fainting, fever, or pregnancy-related warning signs.",NHS: Women's health / pregnancy,https://www.nhs.uk/conditions/pregnancy-and-baby/,1
fiesta_head_pressure,fiesta pressure ulo|fiesta head_pressure|fiesta head pressure,Fiesta head pressure,neurological,Rest in a quiet space; hydrate; cool cloth on the forehead.,For fiesta head pressure: hydrate and avoid skipping meals.,Rise slowly from sitting or lying positions.,Avoid driving or climbing while dizzy or in severe pain.,"Seek care for sudden severe symptoms, weakness, speech trouble, fainting, neck stiffness, or post-injury headache.",NHS: Headaches,https://www.nhs.uk/conditions/headaches/,1
fiesta_temple_ache,fiesta sakit sentido|fiesta temple_ache|fiesta temple ache,Fiesta temple ache,neurological,Ease screen time; hydrate; gentle temple massage if comfortable.,For fiesta temple ache: hydrate and avoid skipping meals.,Rise slowly from sitting or lying positions.,Avoid driving or climbing while dizzy or in severe pain.,"Seek care for sudden severe symptoms, weakness, speech trouble, fainting, neck stiffness, or post-injury headache.",NHS: Headaches,https://www.nhs.uk/conditions/headaches/,1
fiesta_eye_burn,fiesta hapdi mata|fiesta eye_burn|fiesta eye burning,Fiesta eye burning,eye,Do not rub; blink breaks; lubricating drops if suitable.,For fiesta eye burning: use cool clean compresses for comfort if helpful.,Reduce screen glare and take regular visual breaks.,Stop contact lenses until the eye feels normal again.,"Seek care for vision loss, severe pain, light sensitivity, chemical splash, or newborn eye symptoms.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
fiesta_eye_watery,fiesta luha mata|fiesta eye_watery|fiesta watery eyes,Fiesta watery eyes,eye,Cool compress; reduce wind/AC blast; avoid rubbing.,For fiesta watery eyes: use cool clean compresses for comfort if helpful.,Reduce screen glare and take regular visual breaks.,Stop contact lenses until the eye feels normal again.,"Seek care for vision loss, severe pain, light sensitivity, chemical splash, or newborn eye symptoms.",NHS: Eye health / dry eyes,https://www.nhs.uk/conditions/dry-eyes/,1
fiesta_ear_full,fiesta barado tenga|fiesta ear_full|fiesta ear fullness,Fiesta ear fullness,ent,Yawn/swallow gently; saline for congestion; avoid buds.,For fiesta ear fullness: keep cotton buds and objects out of the ear canals.,Saline spray may help if nose congestion contributes.,Protect the area from unnecessary water or trauma.,"Seek care for severe pain, discharge, hearing loss, facial swelling, or dizziness with neurological signs.",NHS: Earache,https://www.nhs.uk/conditions/earache/,1
fiesta_ear_itch,fiesta kati tenga|fiesta ear_itch|fiesta ear itch,Fiesta ear itch,ent,Do not insert objects; ask about safe drops if recurrent.,For fiesta ear itch: keep cotton buds and objects out of the ear canals.,Saline spray may help if nose congestion contributes.,Protect the area from unnecessary water or trauma.,"Seek care for severe pain, discharge, hearing loss, facial swelling, or dizziness with neurological signs.",NHS: Earache,https://www.nhs.uk/conditions/earache/,1
fiesta_nose_drip,fiesta uhog ilong|fiesta nose_drip|fiesta runny nose,Fiesta runny nose,respiratory,Saline spray; tissues not shared; hydrate.,For fiesta runny nose: drink fluids to keep mucus thin; rest your voice and body.,Avoid smoke and strong fumes while recovering.,Sleep with the head slightly elevated if night symptoms worsen.,"Seek care for breathing difficulty, chest pain, coughing blood, high fever, or symptoms beyond 10–14 days.",NHS: Sinusitis,https://www.nhs.uk/conditions/sinusitis/,1
fiesta_sneeze_burst,fiesta bahing sunod|fiesta sneeze_burst|fiesta sneeze bursts,Fiesta sneeze bursts,allergy,Note triggers; saline; antihistamine if suitable/labeled.,For fiesta sneeze bursts: saline rinse can clear pollen or dust from the nose.,Non-sedating antihistamines may help if suitable and labeled for you.,Keep windows closed during high pollen times if that helps.,"Seek urgent care for breathing difficulty, lip/tongue swelling, wheeze, or dizziness after exposure.",Cleveland Clinic: Health Library,https://my.clevelandclinic.org/health,1
fiesta_throat_scratch,fiesta makati lalamunan|fiesta throat_scratch|fiesta scratchy throat,Fiesta scratchy throat,respiratory,Warm fluids; honey if age-appropriate; rest voice.,For fiesta scratchy throat: drink fluids to keep mucus thin; rest your voice and body.,Avoid smoke and strong fumes while recovering.,Sleep with the head slightly elevated if night symptoms worsen.,"Seek care for breathing difficulty, chest pain, coughing blood, high fever, or symptoms beyond 10–14 days.",NHS: Sore throat,https://www.nhs.uk/conditions/sore-throat/,1
fiesta_voice_tired,fiesta pagod boses|fiesta voice_tired|fiesta tired voice,Fiesta tired voice,respiratory,Voice rest; hydrate; avoid whispering which can strain.,For fiesta tired voice: drink fluids to keep mucus thin; rest your voice and body.,Avoid smoke and strong fumes while recovering.,Sleep with the head slightly elevated if night symptoms worsen.,"Seek care for breathing difficulty, chest pain, coughing blood, high fever, or symptoms beyond 10–14 days.",CDC: Diseases & Conditions,https://www.cdc.gov/diseasesconditions/,1
fiesta_chest_tight_mild,fiesta sikip dibdib mild|fiesta chest_tight_mild|fiesta mild chest tightness,Fiesta mild chest tightness,respiratory,Sit upright; use prescribed inhaler plan if you have one; seek urgent care if worsening.,For fiesta mild chest tightness: drink fluids to keep mucus thin; rest your voice and body.,Avoid smoke and strong fumes while recovering.,Sleep with the head slightly elevated if night symptoms worsen.,"Seek care for breathing difficulty, chest pain, coughing blood, high fever, or symptoms beyond 10–14 days.","NHS: Coughs, colds and respiratory",https://www.nhs.uk/conditions/cough/,1
fiesta_rib_sore,fiesta sakit tadyang|fiesta rib_sore|fiesta rib-cage soreness,Fiesta rib-cage soreness,musculoskeletal,Support when coughing; gentle mobility; labeled pain relief if suitable.,For fiesta rib-cage soreness: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
fiesta_belly_cramp,fiesta pulikat tiyan|fiesta belly_cramp|fiesta belly cramps,Fiesta belly cramps,gastrointestinal,Warm compress; bland fluids; rest upright.,For fiesta belly cramps: choose smaller bland meals and sip fluids steadily.,"Avoid greasy, very spicy, and alcohol triggers for a day or two.",Wash hands before eating and after toilet use.,"Seek care for severe pain, persistent vomiting, blood in stool/vomit, dehydration, or fever with a rigid abdomen.",Mayo Clinic: Diseases & Conditions,https://www.mayoclinic.org/diseases-conditions,1
fiesta_gas_pain,fiesta sakit kabag|fiesta gas_pain|fiesta gas pain,Fiesta gas pain,gastrointestinal,Short walk; smaller bites; limit soda briefly.,For fiesta gas pain: choose smaller bland meals and sip fluids steadily.,"Avoid greasy, very spicy, and alcohol triggers for a day or two.",Wash hands before eating and after toilet use.,"Seek care for severe pain, persistent vomiting, blood in stool/vomit, dehydration, or fever with a rigid abdomen.",WHO: Health topics,https://www.who.int/health-topics,1
fiesta_nausea_mild,fiesta sumerko mild|fiesta nausea_mild|fiesta mild nausea,Fiesta mild nausea,gastrointestinal,Sip clear fluids slowly; rest upright; bland foods later.,For fiesta mild nausea: choose smaller bland meals and sip fluids steadily.,"Avoid greasy, very spicy, and alcohol triggers for a day or two.",Wash hands before eating and after toilet use.,"Seek care for severe pain, persistent vomiting, blood in stool/vomit, dehydration, or fever with a rigid abdomen.",MedlinePlus: Health Topics,https://medlineplus.gov/healthtopics.html,1
fiesta_mouth_dry,fiesta tuyong bibig|fiesta mouth_dry|fiesta dry mouth,Fiesta dry mouth,dental,Sip water; sugar-free gum if appropriate; humidify dry rooms.,For fiesta dry mouth: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",FDA US: Consumer Updates,https://www.fda.gov/consumers/consumer-updates,1
fiesta_lip_crack,fiesta bitak labi|fiesta lip_crack|fiesta cracked lips,Fiesta cracked lips,skin,Plain balm often; hydrate; avoid licking.,For fiesta cracked lips: use fragrance-free moisturizer on intact dry skin.,Wear loose breathable clothing over the irritated area.,Do not share towels while the skin is inflamed.,"Seek care for spreading redness, pus, fever, facial/genital involvement, or no improvement in 1–2 weeks.",NHS: Skin conditions A–Z,https://www.nhs.uk/conditions/,1
fiesta_jaw_tight,fiesta kuyom panga|fiesta jaw_tight|fiesta jaw tightness,Fiesta jaw tightness,dental,Soft foods; warm compress; avoid gum; notice clenching.,For fiesta jaw tightness: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",DOH Philippines,https://doh.gov.ph/,1
fiesta_tooth_zing,fiesta ngilo bigla|fiesta tooth_zing|fiesta tooth zing,Fiesta tooth zing,dental,Avoid extremes of temperature; desensitizing toothpaste; soft brush.,For fiesta tooth zing: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",NHS: Toothache / mouth care,https://www.nhs.uk/conditions/toothache/,1
fiesta_gum_tender,fiesta masakit gilagid|fiesta gum_tender|fiesta tender gums,Fiesta tender gums,dental,Saltwater rinse; gentle floss; soft brush.,For fiesta tender gums: choose soft foods; chew on the opposite side if sore.,Use a soft toothbrush and gentle technique.,"Avoid very hot, cold, sticky, or sharp foods that trigger pain.","Seek dental or clinical care for facial swelling, fever, trauma, or pain lasting more than 1–2 days.",NHS: Toothache / mouth care,https://www.nhs.uk/conditions/toothache/,1
fiesta_neck_kink,fiesta pilay leeg|fiesta neck_kink|fiesta neck kink,Fiesta neck kink,musculoskeletal,Gentle motion within comfort; heat; avoid forcing range.,For fiesta neck kink: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",NHS: Conditions A–Z,https://www.nhs.uk/conditions/,1
fiesta_trap_knot,fiesta buhol balikat|fiesta trap_knot|fiesta trapezius knot,Fiesta trapezius knot,musculoskeletal,Heat; posture breaks; light stretches; reduce shrug.,For fiesta trapezius knot: ice briefly with a cloth barrier if swollen; heat later for stiffness if preferred.,Keep gentle movement within comfort so stiffness does not set in.,Return to activity gradually once sharp pain settles.,"Seek care for inability to bear weight, numbness/weakness, deformity, or no improvement after several days.",DOH Philippines,https://doh.gov.ph/,1
