hiligaynon_term,english_term,medical_category,severity,triage_level,status,expected_triage
ko akon talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
akon ko talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid ko akon talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko gid akon ko talukap mata,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata ko akon,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
grabe gid naaksidente ko talukap mata akon ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
talukap mata naaksidente ko,eyelid vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong ko,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong akon,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
naaksidente ko bukongbukong ko akon,ankle vehicle collision injury,trauma,Critical,emergency,active,emergency
