local_term,english_translation,category,medical_keyword,severity,body_system
may ara ko nga sakit mata dako gid gid,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko halin sang gabii",eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay indi ko kaklaro kita gid,eye pain,pain,eye pain,moderate,ophthalmological
may masakit mata,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata ako,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata gid,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko pirmi gid ako",eye pain,pain,eye pain,moderate,ophthalmological
sige ko malain panulok ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata subong,eye pain,pain,eye pain,moderate,ophthalmological
ginkirot mata,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
"dok, masakit mata sobra na gid",eye pain,pain,eye pain,moderate,ophthalmological
Masaket gid akon mata,eye pain,pain,eye pain,moderate,ophthalmological
"dok, sakit mata ko halin sang aga gid ako",eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko subong",eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko halin sang aga ako",eye pain,pain,eye pain,moderate,ophthalmological
pareho ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
daw indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata,eye pain,pain,eye pain,moderate,ophthalmological
amuni indi ko kaklaro kita,eye pain,pain,eye pain,moderate,ophthalmological
"doc, malain panulok ko",eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga indi ko kaklaro kita ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko subong gid ko,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata man,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko ako,eye pain,pain,eye pain,moderate,ophthalmological
"doc, sakit mata ko halin sang gabii ako",eye pain,pain,eye pain,moderate,ophthalmological
pareho malain panulok ko ko,eye pain,pain,eye pain,moderate,ophthalmological
basin nagasakit mata grabe bah,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko gid ko",eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay ga hapdi mata ko bah,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga malain panulok ko ako,eye pain,pain,eye pain,moderate,ophthalmological
naga luha mata,eye pain,pain,eye pain,moderate,ophthalmological
sige ko indi ko kaklaro kita gid ko,eye pain,pain,eye pain,moderate,ophthalmological
ginga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata man,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay sakit mata grabe na gid,eye pain,pain,eye pain,moderate,ophthalmological
may Masakit gid akon mata,eye pain,pain,eye pain,moderate,ophthalmological
panakit mata subong,eye pain,pain,eye pain,moderate,ophthalmological
maskit mata,eye pain,pain,eye pain,moderate,ophthalmological
masakit mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko gid,eye pain,pain,eye pain,moderate,ophthalmological
basin malain panulok ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
may Eye pain gid ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko pirmi bah,eye pain,pain,eye pain,moderate,ophthalmological
basin indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
pareho indi ko kaklaro kita ako,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga nagasakit mata sobra gid,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko sige ko,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay nagasakit mata malala gid na gid,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko talaga,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko pirmi subong,eye pain,pain,eye pain,moderate,ophthalmological
pareho ga hapdi mata ko gid,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko subong ako,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko man,eye pain,pain,eye pain,moderate,ophthalmological
"dok, ga hapdi mata ko subong",eye pain,pain,eye pain,moderate,ophthalmological
basin malain panulok ko gid,eye pain,pain,eye pain,moderate,ophthalmological
skit mata,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata bah,eye pain,pain,eye pain,moderate,ophthalmological
sige ko sakit mata ko halin sang aga gid,eye pain,pain,eye pain,moderate,ophthalmological
indi ko kaklaro kita gid,eye pain,pain,eye pain,moderate,ophthalmological
sige ko sakit mata ko subong man,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga hapdi mata grabe subong,eye pain,pain,eye pain,moderate,ophthalmological
pareho ga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, malain panulok ko man",eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga malain panulok ko subong,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata po,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata talaga,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata ako,eye pain,pain,eye pain,moderate,ophthalmological
naghapdi mata,eye pain,pain,eye pain,moderate,ophthalmological
"doc, malain panulok ko gid",eye pain,pain,eye pain,moderate,ophthalmological
panakit mata gid ko,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko / eye pain,eye pain,pain,eye pain,moderate,ophthalmological
"dok, kirot mata gid man",eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga indi ko kaklaro kita bah,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, malain panulok ko na gid",eye pain,pain,eye pain,moderate,ophthalmological
"doc, ga hapdi mata ko grabeh gid",eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata po,eye pain,pain,eye pain,moderate,ophthalmological
sige ko ga hapdi mata ko ako,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
amuni ga hapdi mata ko ko,eye pain,pain,eye pain,moderate,ophthalmological
basin ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
daw indi ko kaklaro kita bah,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko subong subong,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata man,eye pain,pain,eye pain,moderate,ophthalmological
"dok, sakit mata ko karon gid ako",eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata gid ko,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko subong",eye pain,pain,eye pain,moderate,ophthalmological
"dok, masakit mata gid gid",eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay ga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga sakit mata ko since kagapon ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga kirot mata sing malala gid,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata bah,eye pain,pain,eye pain,moderate,ophthalmological
pareho indi ko kaklaro kita gid,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko dako gid gid",eye pain,pain,eye pain,moderate,ophthalmological
sige ko ga hapdi mata ko ko,eye pain,pain,eye pain,moderate,ophthalmological
"doc, indi ko kaklaro kita gid",eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga ga hapdi mata ko man,eye pain,pain,eye pain,moderate,ophthalmological
daw indi ko kaklaro kita ko,eye pain,pain,eye pain,moderate,ophthalmological
masaket mata,eye pain,pain,eye pain,moderate,ophthalmological
daw may buhangin mata gid,eye pain,pain,eye pain,moderate,ophthalmological
daw ga hapdi mata ko gid gid ako,eye pain,pain,eye pain,moderate,ophthalmological
daw malain panulok ko subong,eye pain,pain,eye pain,moderate,ophthalmological
sige ko indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata subong,eye pain,pain,eye pain,moderate,ophthalmological
may ga luha mata,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga ga hapdi mata ko grabe bah,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata subong,eye pain,pain,eye pain,moderate,ophthalmological
daw malain panulok ko gid ako,eye pain,pain,eye pain,moderate,ophthalmological
may kirot mata,eye pain,pain,eye pain,moderate,ophthalmological
panakit mata man,eye pain,pain,eye pain,moderate,ophthalmological
pareho malain panulok ko ako,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay sakit mata ko sige gid ako,eye pain,pain,eye pain,moderate,ophthalmological
may ga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata grabe ko,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata ako,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata po,eye pain,pain,eye pain,moderate,ophthalmological
basin sakit mata ko since kagapon man,eye pain,pain,eye pain,moderate,ophthalmological
amuni ga hapdi mata ko ako,eye pain,pain,eye pain,moderate,ophthalmological
panakit mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
indi ko kaklaro kita bah,eye pain,pain,eye pain,moderate,ophthalmological
basin sakit mata ko sige gid ako,eye pain,pain,eye pain,moderate,ophthalmological
"doc, sakit mata ko pirmi man",eye pain,pain,eye pain,moderate,ophthalmological
daw ga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
amuni ga hapdi mata ko subong,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
"dok, ga hapdi mata ko sing malala man",eye pain,pain,eye pain,moderate,ophthalmological
indi ko kaklaro kita na gid,eye pain,pain,eye pain,moderate,ophthalmological
ginEye pain gid ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko pirmi gid ako,eye pain,pain,eye pain,moderate,ophthalmological
sige ko sakit mata ko subong ko,eye pain,pain,eye pain,moderate,ophthalmological
nagMasakit gid akon mata,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata ko,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko ko",eye pain,pain,eye pain,moderate,ophthalmological
sige ko sakit mata ko pirmi ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga hapdi mata sing malala ako,eye pain,pain,eye pain,moderate,ophthalmological
"doc, kirot mata sing malala gid ako",eye pain,pain,eye pain,moderate,ophthalmological
ginasaket mata,eye pain,pain,eye pain,moderate,ophthalmological
nagga luha mata,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay ga hapdi mata ko gid ako,eye pain,pain,eye pain,moderate,ophthalmological
amuni ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
naga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
"dok, sakit mata ko halin sang gabii ko",eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko subong man",eye pain,pain,eye pain,moderate,ophthalmological
masakit mata gid ko,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga malain panulok ko gid,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko man,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata dako gid ako,eye pain,pain,eye pain,moderate,ophthalmological
amuni sakit mata sobra ko,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga ga hapdi mata ko gid,eye pain,pain,eye pain,moderate,ophthalmological
pareho ga hapdi mata ko malala gid gid ko,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko subong gid ko,eye pain,pain,eye pain,moderate,ophthalmological
"doc, sakit mata ko kagapon na gid",eye pain,pain,eye pain,moderate,ophthalmological
pareho indi ko kaklaro kita gid ako,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
ginIndi ko klaro makita,eye pain,pain,eye pain,moderate,ophthalmological
basin ga hapdi mata ko subong,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata gid,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay indi ko kaklaro kita na gid,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko halin sang aga gid,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko subong,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata bah,eye pain,pain,eye pain,moderate,ophthalmological
pareho ga hapdi mata ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
pareho sakit mata ko sige gid ko,eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata na gid,eye pain,pain,eye pain,moderate,ophthalmological
"doc, sakit mata ko karon",eye pain,pain,eye pain,moderate,ophthalmological
sige ko nagasakit mata sing malala subong,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay nagasakit mata dako gid bah,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga ga hapdi mata ko grabe bah,eye pain,pain,eye pain,moderate,ophthalmological
gina luha mata,eye pain,pain,eye pain,moderate,ophthalmological
masakit mata sobra ako,eye pain,pain,eye pain,moderate,ophthalmological
"dok, ga hapdi mata ko gid",eye pain,pain,eye pain,moderate,ophthalmological
sige ko nagasakit mata malala gid bah,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga ga hapdi mata ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
daw indi ko kaklaro kita gid,eye pain,pain,eye pain,moderate,ophthalmological
"doc, indi ko kaklaro kita subong",eye pain,pain,eye pain,moderate,ophthalmological
masakit mata / eye pain,eye pain,pain,eye pain,moderate,ophthalmological
daw malain panulok ko ako,eye pain,pain,eye pain,moderate,ophthalmological
amuni sakit mata sing malala,eye pain,pain,eye pain,moderate,ophthalmological
Maskit gid akon mata,eye pain,pain,eye pain,moderate,ophthalmological
"doc, indi ko kaklaro kita bah",eye pain,pain,eye pain,moderate,ophthalmological
panakit mata bah,eye pain,pain,eye pain,moderate,ophthalmological
"doc, indi ko kaklaro kita ko",eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko gid ako,eye pain,pain,eye pain,moderate,ophthalmological
basin kirot mata gid gid ako,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata gid,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga indi ko kaklaro kita gid,eye pain,pain,eye pain,moderate,ophthalmological
pareho hapdi mata sobra subong,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga ga hapdi mata ko dako gid man,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga malain panulok ko gid,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga indi ko kaklaro kita ako,eye pain,pain,eye pain,moderate,ophthalmological
"dok, ga hapdi mata ko",eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata gid,eye pain,pain,eye pain,moderate,ophthalmological
"dok, malain panulok ko bah",eye pain,pain,eye pain,moderate,ophthalmological
nagdaw may buhangin mata,eye pain,pain,eye pain,moderate,ophthalmological
hapdi mata gid,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga hapdi mata daw malala man,eye pain,pain,eye pain,moderate,ophthalmological
nagsakit mata,eye pain,pain,eye pain,moderate,ophthalmological
nagkirot mata,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko bah,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
daw masakit mata gid gid ko,eye pain,pain,eye pain,moderate,ophthalmological
sige ko ga hapdi mata ko gid,eye pain,pain,eye pain,moderate,ophthalmological
basin hapdi mata grabeh gid,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata ko kagapon ako",eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga hapdi mata gid ko,eye pain,pain,eye pain,moderate,ophthalmological
basin sakit mata ko subong man,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata / eye pain,eye pain,pain,eye pain,moderate,ophthalmological
Masakit gid akon mata,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata ko subong bah,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, malain panulok ko bah",eye pain,pain,eye pain,moderate,ophthalmological
daw indi ko kaklaro kita subong,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga malain panulok ko subong,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko halin sang gabii gid ako,eye pain,pain,eye pain,moderate,ophthalmological
pareho malain panulok ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga masakit mata sing malala man,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga malain panulok ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
pareho indi ko kaklaro kita bah,eye pain,pain,eye pain,moderate,ophthalmological
masakit mata bah,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata bah,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata subong,eye pain,pain,eye pain,moderate,ophthalmological
"dok, hapdi mata daw malala ko",eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata talaga,eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata ako,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata dako gid,eye pain,pain,eye pain,moderate,ophthalmological
sige ko malain panulok ko,eye pain,pain,eye pain,moderate,ophthalmological
kirot mata gid,eye pain,pain,eye pain,moderate,ophthalmological
masakit mata po,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga indi ko kaklaro kita gid ko,eye pain,pain,eye pain,moderate,ophthalmological
"dok, indi ko kaklaro kita bah",eye pain,pain,eye pain,moderate,ophthalmological
daw malain panulok ko,eye pain,pain,eye pain,moderate,ophthalmological
amuni malain panulok ko ako,eye pain,pain,eye pain,moderate,ophthalmological
ginhapdi mata,eye pain,pain,eye pain,moderate,ophthalmological
"dok, indi ko kaklaro kita na gid",eye pain,pain,eye pain,moderate,ophthalmological
hapdi mata ako,eye pain,pain,eye pain,moderate,ophthalmological
basin kirot mata dako gid gid,eye pain,pain,eye pain,moderate,ophthalmological
nagaskit mata,eye pain,pain,eye pain,moderate,ophthalmological
"dok, nagasakit mata dako gid",eye pain,pain,eye pain,moderate,ophthalmological
daw ga hapdi mata ko na gid,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko ko,eye pain,pain,eye pain,moderate,ophthalmological
amuni malain panulok ko gid ako,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata po,eye pain,pain,eye pain,moderate,ophthalmological
panakit mata ako,eye pain,pain,eye pain,moderate,ophthalmological
pareho kirot mata grabeh gid ako,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko gid bah",eye pain,pain,eye pain,moderate,ophthalmological
daw hapdi mata grabeh gid ko,eye pain,pain,eye pain,moderate,ophthalmological
ga hapdi mata ko ako,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, ga hapdi mata ko bah",eye pain,pain,eye pain,moderate,ophthalmological
sige ko malain panulok ko man,eye pain,pain,eye pain,moderate,ophthalmological
sige ko indi ko kaklaro kita man,eye pain,pain,eye pain,moderate,ophthalmological
masakit mata gid,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko karon,eye pain,pain,eye pain,moderate,ophthalmological
ga luha mata man,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga sakit mata ko halin sang aga ako,eye pain,pain,eye pain,moderate,ophthalmological
pareho sakit mata ko sige ko,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay sakit mata ko kagapon ako,eye pain,pain,eye pain,moderate,ophthalmological
may hapdi mata,eye pain,pain,eye pain,moderate,ophthalmological
sakit mata talaga,eye pain,pain,eye pain,moderate,ophthalmological
nagga hapdi mata ko,eye pain,pain,eye pain,moderate,ophthalmological
hapdi mata po,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata ko sige man,eye pain,pain,eye pain,moderate,ophthalmological
basin kirot mata grabeh gid ko,eye pain,pain,eye pain,moderate,ophthalmological
amuni nagasakit mata sing malala gid,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, sakit mata grabeh gid ko",eye pain,pain,eye pain,moderate,ophthalmological
nagasakit mata bah,eye pain,pain,eye pain,moderate,ophthalmological
hapdi mata / eye pain,eye pain,pain,eye pain,moderate,ophthalmological
daw may buhangin mata,eye pain,pain,eye pain,moderate,ophthalmological
"doktor, malain panulok ko ko",eye pain,pain,eye pain,moderate,ophthalmological
hapdi mata,eye pain,pain,eye pain,moderate,ophthalmological
may sakit mata,eye pain,pain,eye pain,moderate,ophthalmological
masakti mata,eye pain,pain,eye pain,moderate,ophthalmological
nagIndi ko klaro makita,eye pain,pain,eye pain,moderate,ophthalmological
sige ko indi ko kaklaro kita ako,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga sakit mata ko kagapon ako,eye pain,pain,eye pain,moderate,ophthalmological
may ara ko nga sakit mata ko subong gid,eye pain,pain,eye pain,moderate,ophthalmological
daw kirot mata dako gid gid,eye pain,pain,eye pain,moderate,ophthalmological
nagmasakit mata,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata ko,eye pain,pain,eye pain,moderate,ophthalmological
"doc, ga hapdi mata ko subong",eye pain,pain,eye pain,moderate,ophthalmological
"doc, indi ko kaklaro kita man",eye pain,pain,eye pain,moderate,ophthalmological
amuni malain panulok ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
indi ko kaklaro kita talaga,eye pain,pain,eye pain,moderate,ophthalmological
daw ga hapdi mata ko ko,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga indi ko kaklaro kita,eye pain,pain,eye pain,moderate,ophthalmological
malain panulok ko subong,eye pain,pain,eye pain,moderate,ophthalmological
nagEye pain gid ko,eye pain,pain,eye pain,moderate,ophthalmological
daw sakit mata gid ko,eye pain,pain,eye pain,moderate,ophthalmological
complain ko kay ga hapdi mata ko gid ko,eye pain,pain,eye pain,moderate,ophthalmological
saket mata,eye pain,pain,eye pain,moderate,ophthalmological
basin malain panulok ko bah,eye pain,pain,eye pain,moderate,ophthalmological
feel ko nga ga hapdi mata ko gid ako,eye pain,pain,eye pain,moderate,ophthalmological
ginasakit mata talaga,eye pain,pain,eye pain,moderate,ophthalmological
chest pain,chest pain,pain,chest pain,severe,cardiovascular
naggakurot dughan,chest pain,pain,chest pain,severe,cardiovascular
may kasakit sa dughan ko subong,chest pain,pain,chest pain,severe,cardiovascular
sakit dughan bah,chest pain,pain,chest pain,severe,cardiovascular
"doc, grabe sakit dughan ko",chest pain,pain,chest pain,severe,cardiovascular
"doc, may kasakit sa dughan ko na gid",chest pain,pain,chest pain,severe,cardiovascular
sakit dughan man,chest pain,pain,chest pain,severe,cardiovascular
saket tagipusuon,chest pain,pain,chest pain,severe,cardiovascular
ga pito dughan ko na gid,chest pain,pain,chest pain,severe,cardiovascular
nagGapigos gid dughan ko,chest pain,pain,chest pain,severe,cardiovascular
"doktor, ga pito dughan ko gid",chest pain,pain,chest pain,severe,cardiovascular
basin grabe sakit dughan ko subong,chest pain,pain,chest pain,severe,cardiovascular
"dok, grabe sakit dughan ko bah",chest pain,pain,chest pain,severe,cardiovascular
may Gapigos gid dughan ko,chest pain,pain,chest pain,severe,cardiovascular
Gapigos gid dughn ko,chest pain,pain,chest pain,severe,cardiovascular
chest pain gid ko,chest pain,pain,chest pain,severe,cardiovascular
ga pito dughan ko / chest pain,chest pain,pain,chest pain,severe,cardiovascular
may ara ko nga sakit dughan ko karon man,chest pain,pain,chest pain,severe,cardiovascular
"dok, grabe sakit dughan ko gid",chest pain,pain,chest pain,severe,cardiovascular
feel ko nga grabe sakit dughan ko ko,chest pain,pain,chest pain,severe,cardiovascular
masakit dughan ako,chest pain,pain,chest pain,severe,cardiovascular
sakit dughan ko halin sang aga gid ko,chest pain,pain,chest pain,severe,cardiovascular
"doc, ga pito dughan ko gid ko",chest pain,pain,chest pain,severe,cardiovascular
pareho may kasakit sa dughan ko malala gid gid ko,chest pain,pain,chest pain,severe,cardiovascular
complain ko kay may kasakit sa dughan ko man,chest pain,pain,chest pain,severe,cardiovascular
ga pito dughn ko,chest pain,pain,chest pain,severe,cardiovascular
pareho may kasakit sa dughan ko bah,chest pain,pain,chest pain,severe,cardiovascular
"doc, grabe sakit dughan ko man",chest pain,pain,chest pain,severe,cardiovascular
complain ko kay ga pito dughan ko ko,chest pain,pain,chest pain,severe,cardiovascular
may kasakit sa dughan ko bah,chest pain,pain,chest pain,severe,cardiovascular
may ara ko nga grabe sakit dughan ko gid ko,chest pain,pain,chest pain,severe,cardiovascular
sakit dughan ko pirmi ako,chest pain,pain,chest pain,severe,cardiovascular
ginsakit dughan,chest pain,pain,chest pain,severe,cardiovascular
amuni ga pito dughan ko,chest pain,pain,chest pain,severe,cardiovascular
pareho sakit sang dughan gid subong,chest pain,pain,chest pain,severe,cardiovascular
may chest pain,chest pain,pain,chest pain,severe,cardiovascular
may ara ko nga grabe sakit dughan ko,chest pain,pain,chest pain,severe,cardiovascular
sakit dughan ko,chest pain,pain,chest pain,severe,cardiovascular
feel ko nga grabe sakit dughan ko gid ko,chest pain,pain,chest pain,severe,cardiovascular
ga pito dughan ko po,chest pain,pain,chest pain,severe,cardiovascular
"doc, sakit dughan ko karon ko",chest pain,pain,chest pain,severe,cardiovascular
sakit dughan ko karon gid ako,chest pain,pain,chest pain,severe,cardiovascular
sakit tagipusuon po,chest pain,pain,chest pain,severe,cardiovascular
feel ko nga sakit dughan ko subong gid ko,chest pain,pain,chest pain,severe,cardiovascular
feel ko nga grabe sakit dughan ko,chest pain,pain,chest pain,severe,cardiovascular
complain ko kay masakit dughan dako gid gid ako,chest pain,pain,chest pain,severe,cardiovascular
pareho sakit sang dughan daw malala bah,chest pain,pain,chest pain,severe,cardiovascular
masakit dughan bah,chest pain,pain,chest pain,severe,cardiovascular
may hapdi dughan,chest pain,pain,chest pain,severe,cardiovascular
ga pito dughan ko gid,chest pain,pain,chest pain,severe,cardiovascular
sige ko grabe sakit dughan ko ko,chest pain,pain,chest pain,severe,cardiovascular
may ara ko nga sakit dughan grabeh subong,chest pain,pain,chest pain,severe,cardiovascular
daw sakit dughan ko karon bah,chest pain,pain,chest pain,severe,cardiovascular
feel ko nga sakit sang dughan grabe man,chest pain,pain,chest pain,severe,cardiovascular
sakit dughan ko subong gid,chest pain,pain,chest pain,severe,cardiovascular
"dok, grabe sakit dughan ko ko",chest pain,pain,chest pain,severe,cardiovascular
masakti dughan,chest pain,pain,chest pain,severe,cardiovascular
feel ko nga sakit dughan ko halin sang aga bah,chest pain,pain,chest pain,severe,cardiovascular
gapigos dughan man,chest pain,pain,chest pain,severe,cardiovascular
gakurot dughan bah,chest pain,pain,chest pain,severe,cardiovascular
complain ko kay sakit dughan ko halin sang aga bah,chest pain,pain,chest pain,severe,cardiovascular
masakit dughan gid ko,chest pain,pain,chest pain,severe,cardiovascular
complain ko kay sakit dughan ko sige ko,chest pain,pain,chest pain,severe,cardiovascular
daw may kasakit sa dughan ko sing malala na gid,chest pain,pain,chest pain,severe,cardiovascular
gapigos dughan bah,chest pain,pain,chest pain,severe,cardiovascular
hapdi dughan po,chest pain,pain,chest pain,severe,cardiovascular
pareho ga pito dughan ko na gid,chest pain,pain,chest pain,severe,cardiovascular
ginchest pain,chest pain,pain,chest pain,severe,cardiovascular
