hiligaynon_pattern,english_pattern,triage_level,severity,status
hilanat gid gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid gid talukap mata ko,eyelid high fever,urgent,moderate,active
hilanat gid gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid gid tiyan,abdomen high fever,urgent,moderate,active
hilanat gid gid tiyan akon,abdomen high fever,urgent,moderate,active
hilanat gid gid tiyan akon ko,abdomen high fever,urgent,moderate,active
hilanat gid gid tiyan ko,abdomen high fever,urgent,moderate,active
hilanat gid gid tiyan ko akon,abdomen high fever,urgent,moderate,active
hilanat gid gid tungod,throat high fever,urgent,moderate,active
hilanat gid gid tungod akon,throat high fever,urgent,moderate,active
hilanat gid gid tungod akon ko,throat high fever,urgent,moderate,active
hilanat gid gid tungod ko,throat high fever,urgent,moderate,active
hilanat gid gid tungod ko akon,throat high fever,urgent,moderate,active
hilanat gid grabe abaga,shoulder high fever,urgent,moderate,active
hilanat gid grabe abaga akon,shoulder high fever,urgent,moderate,active
hilanat gid grabe abaga akon ko,shoulder high fever,urgent,moderate,active
hilanat gid grabe abaga ko,shoulder high fever,urgent,moderate,active
hilanat gid grabe abaga ko akon,shoulder high fever,urgent,moderate,active
hilanat gid grabe bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid grabe bukongbukong akon,ankle high fever,urgent,moderate,active
hilanat gid grabe bukongbukong akon ko,ankle high fever,urgent,moderate,active
hilanat gid grabe bukongbukong ko,ankle high fever,urgent,moderate,active
hilanat gid grabe bukongbukong ko akon,ankle high fever,urgent,moderate,active
hilanat gid grabe dalunggan,ear high fever,urgent,moderate,active
hilanat gid grabe dalunggan akon,ear high fever,urgent,moderate,active
hilanat gid grabe dalunggan akon ko,ear high fever,urgent,moderate,active
hilanat gid grabe dalunggan ko,ear high fever,urgent,moderate,active
hilanat gid grabe dalunggan ko akon,ear high fever,urgent,moderate,active
hilanat gid grabe dughan,chest high fever,urgent,moderate,active
hilanat gid grabe dughan akon,chest high fever,urgent,moderate,active
hilanat gid grabe dughan akon ko,chest high fever,urgent,moderate,active
hilanat gid grabe dughan ko,chest high fever,urgent,moderate,active
hilanat gid grabe dughan ko akon,chest high fever,urgent,moderate,active
hilanat gid grabe gid abaga,shoulder high fever,urgent,moderate,active
hilanat gid grabe gid abaga akon,shoulder high fever,urgent,moderate,active
hilanat gid grabe gid abaga akon ko,shoulder high fever,urgent,moderate,active
hilanat gid grabe gid abaga ko,shoulder high fever,urgent,moderate,active
hilanat gid grabe gid abaga ko akon,shoulder high fever,urgent,moderate,active
hilanat gid grabe gid bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid grabe gid bukongbukong akon,ankle high fever,urgent,moderate,active
hilanat gid grabe gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
hilanat gid grabe gid bukongbukong ko,ankle high fever,urgent,moderate,active
hilanat gid grabe gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
hilanat gid grabe gid dalunggan,ear high fever,urgent,moderate,active
hilanat gid grabe gid dalunggan akon,ear high fever,urgent,moderate,active
hilanat gid grabe gid dalunggan akon ko,ear high fever,urgent,moderate,active
hilanat gid grabe gid dalunggan ko,ear high fever,urgent,moderate,active
hilanat gid grabe gid dalunggan ko akon,ear high fever,urgent,moderate,active
hilanat gid grabe gid dughan,chest high fever,urgent,moderate,active
hilanat gid grabe gid dughan akon,chest high fever,urgent,moderate,active
hilanat gid grabe gid dughan akon ko,chest high fever,urgent,moderate,active
hilanat gid grabe gid dughan ko,chest high fever,urgent,moderate,active
hilanat gid grabe gid dughan ko akon,chest high fever,urgent,moderate,active
hilanat gid grabe gid ilong,nose high fever,urgent,moderate,active
hilanat gid grabe gid ilong akon,nose high fever,urgent,moderate,active
hilanat gid grabe gid ilong akon ko,nose high fever,urgent,moderate,active
hilanat gid grabe gid ilong ko,nose high fever,urgent,moderate,active
hilanat gid grabe gid ilong ko akon,nose high fever,urgent,moderate,active
hilanat gid grabe gid kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid kilid mata akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid kilid mata ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid ngabil,lip high fever,urgent,moderate,active
hilanat gid grabe gid ngabil akon,lip high fever,urgent,moderate,active
hilanat gid grabe gid ngabil akon ko,lip high fever,urgent,moderate,active
hilanat gid grabe gid ngabil ko,lip high fever,urgent,moderate,active
hilanat gid grabe gid ngabil ko akon,lip high fever,urgent,moderate,active
hilanat gid grabe gid pisngi,cheek high fever,urgent,moderate,active
hilanat gid grabe gid pisngi akon,cheek high fever,urgent,moderate,active
hilanat gid grabe gid pisngi akon ko,cheek high fever,urgent,moderate,active
hilanat gid grabe gid pisngi ko,cheek high fever,urgent,moderate,active
hilanat gid grabe gid pisngi ko akon,cheek high fever,urgent,moderate,active
hilanat gid grabe gid singit,groin high fever,urgent,moderate,active
hilanat gid grabe gid singit akon,groin high fever,urgent,moderate,active
hilanat gid grabe gid singit akon ko,groin high fever,urgent,moderate,active
hilanat gid grabe gid singit ko,groin high fever,urgent,moderate,active
hilanat gid grabe gid singit ko akon,groin high fever,urgent,moderate,active
hilanat gid grabe gid talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid talukap mata akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid talukap mata ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe gid tiyan,abdomen high fever,urgent,moderate,active
hilanat gid grabe gid tiyan akon,abdomen high fever,urgent,moderate,active
hilanat gid grabe gid tiyan akon ko,abdomen high fever,urgent,moderate,active
hilanat gid grabe gid tiyan ko,abdomen high fever,urgent,moderate,active
hilanat gid grabe gid tiyan ko akon,abdomen high fever,urgent,moderate,active
hilanat gid grabe gid tungod,throat high fever,urgent,moderate,active
hilanat gid grabe gid tungod akon,throat high fever,urgent,moderate,active
hilanat gid grabe gid tungod akon ko,throat high fever,urgent,moderate,active
hilanat gid grabe gid tungod ko,throat high fever,urgent,moderate,active
hilanat gid grabe gid tungod ko akon,throat high fever,urgent,moderate,active
hilanat gid grabe ilong,nose high fever,urgent,moderate,active
hilanat gid grabe ilong akon,nose high fever,urgent,moderate,active
hilanat gid grabe ilong akon ko,nose high fever,urgent,moderate,active
hilanat gid grabe ilong ko,nose high fever,urgent,moderate,active
hilanat gid grabe ilong ko akon,nose high fever,urgent,moderate,active
hilanat gid grabe kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid grabe kilid mata akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe kilid mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe kilid mata ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe kilid mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe ngabil,lip high fever,urgent,moderate,active
hilanat gid grabe ngabil akon,lip high fever,urgent,moderate,active
hilanat gid grabe ngabil akon ko,lip high fever,urgent,moderate,active
hilanat gid grabe ngabil ko,lip high fever,urgent,moderate,active
hilanat gid grabe ngabil ko akon,lip high fever,urgent,moderate,active
hilanat gid grabe pisngi,cheek high fever,urgent,moderate,active
hilanat gid grabe pisngi akon,cheek high fever,urgent,moderate,active
hilanat gid grabe pisngi akon ko,cheek high fever,urgent,moderate,active
hilanat gid grabe pisngi ko,cheek high fever,urgent,moderate,active
hilanat gid grabe pisngi ko akon,cheek high fever,urgent,moderate,active
hilanat gid grabe singit,groin high fever,urgent,moderate,active
hilanat gid grabe singit akon,groin high fever,urgent,moderate,active
hilanat gid grabe singit akon ko,groin high fever,urgent,moderate,active
hilanat gid grabe singit ko,groin high fever,urgent,moderate,active
hilanat gid grabe singit ko akon,groin high fever,urgent,moderate,active
hilanat gid grabe talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid grabe talukap mata akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe talukap mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe talukap mata ko,eyelid high fever,urgent,moderate,active
hilanat gid grabe talukap mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid grabe tiyan,abdomen high fever,urgent,moderate,active
hilanat gid grabe tiyan akon,abdomen high fever,urgent,moderate,active
hilanat gid grabe tiyan akon ko,abdomen high fever,urgent,moderate,active
hilanat gid grabe tiyan ko,abdomen high fever,urgent,moderate,active
hilanat gid grabe tiyan ko akon,abdomen high fever,urgent,moderate,active
hilanat gid grabe tungod,throat high fever,urgent,moderate,active
hilanat gid grabe tungod akon,throat high fever,urgent,moderate,active
hilanat gid grabe tungod akon ko,throat high fever,urgent,moderate,active
hilanat gid grabe tungod ko,throat high fever,urgent,moderate,active
hilanat gid grabe tungod ko akon,throat high fever,urgent,moderate,active
hilanat gid ilong,nose high fever,urgent,moderate,active
hilanat gid ilong akon,nose high fever,urgent,moderate,active
hilanat gid ilong akon ko,nose high fever,urgent,moderate,active
hilanat gid ilong ko,nose high fever,urgent,moderate,active
hilanat gid ilong ko akon,nose high fever,urgent,moderate,active
hilanat gid kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,active
hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,active
hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid ko abaga,shoulder high fever,urgent,moderate,active
hilanat gid ko akon abaga,shoulder high fever,urgent,moderate,active
hilanat gid ko akon bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid ko akon dalunggan,ear high fever,urgent,moderate,active
hilanat gid ko akon dughan,chest high fever,urgent,moderate,active
hilanat gid ko akon ilong,nose high fever,urgent,moderate,active
hilanat gid ko akon kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid ko akon ngabil,lip high fever,urgent,moderate,active
hilanat gid ko akon pisngi,cheek high fever,urgent,moderate,active
hilanat gid ko akon singit,groin high fever,urgent,moderate,active
hilanat gid ko akon talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid ko akon tiyan,abdomen high fever,urgent,moderate,active
hilanat gid ko akon tungod,throat high fever,urgent,moderate,active
hilanat gid ko bukongbukong,ankle high fever,urgent,moderate,active
hilanat gid ko dalunggan,ear high fever,urgent,moderate,active
hilanat gid ko dughan,chest high fever,urgent,moderate,active
hilanat gid ko ilong,nose high fever,urgent,moderate,active
hilanat gid ko kilid mata,eyelid high fever,urgent,moderate,active
hilanat gid ko ngabil,lip high fever,urgent,moderate,active
hilanat gid ko pisngi,cheek high fever,urgent,moderate,active
hilanat gid ko singit,groin high fever,urgent,moderate,active
hilanat gid ko talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid ko tiyan,abdomen high fever,urgent,moderate,active
hilanat gid ko tungod,throat high fever,urgent,moderate,active
hilanat gid ngabil,lip high fever,urgent,moderate,active
hilanat gid ngabil akon,lip high fever,urgent,moderate,active
hilanat gid ngabil akon ko,lip high fever,urgent,moderate,active
hilanat gid ngabil ko,lip high fever,urgent,moderate,active
hilanat gid ngabil ko akon,lip high fever,urgent,moderate,active
hilanat gid pisngi,cheek high fever,urgent,moderate,active
hilanat gid pisngi akon,cheek high fever,urgent,moderate,active
hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,active
hilanat gid pisngi ko,cheek high fever,urgent,moderate,active
hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,active
hilanat gid singit,groin high fever,urgent,moderate,active
hilanat gid singit akon,groin high fever,urgent,moderate,active
hilanat gid singit akon ko,groin high fever,urgent,moderate,active
hilanat gid singit ko,groin high fever,urgent,moderate,active
hilanat gid singit ko akon,groin high fever,urgent,moderate,active
hilanat gid talukap mata,eyelid high fever,urgent,moderate,active
hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,active
hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,active
hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
hilanat gid tiyan,abdomen high fever,urgent,moderate,active
hilanat gid tiyan akon,abdomen high fever,urgent,moderate,active
hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,active
hilanat gid tiyan ko,abdomen high fever,urgent,moderate,active
hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,active
hilanat gid tungod,throat high fever,urgent,moderate,active
hilanat gid tungod akon,throat high fever,urgent,moderate,active
hilanat gid tungod akon ko,throat high fever,urgent,moderate,active
hilanat gid tungod ko,throat high fever,urgent,moderate,active
hilanat gid tungod ko akon,throat high fever,urgent,moderate,active
ilong akon hilanat gid,nose high fever,urgent,moderate,active
ilong akon ko hilanat gid,nose high fever,urgent,moderate,active
ilong hilanat gid,nose high fever,urgent,moderate,active
ilong ko akon hilanat gid,nose high fever,urgent,moderate,active
ilong ko hilanat gid,nose high fever,urgent,moderate,active
kilid mata akon hilanat gid,eyelid high fever,urgent,moderate,active
kilid mata akon ko hilanat gid,eyelid high fever,urgent,moderate,active
kilid mata hilanat gid,eyelid high fever,urgent,moderate,active
kilid mata ko akon hilanat gid,eyelid high fever,urgent,moderate,active
kilid mata ko hilanat gid,eyelid high fever,urgent,moderate,active
ko abaga hilanat gid,shoulder high fever,urgent,moderate,active
ko akon abaga hilanat gid,shoulder high fever,urgent,moderate,active
ko akon bukongbukong hilanat gid,ankle high fever,urgent,moderate,active
ko akon dalunggan hilanat gid,ear high fever,urgent,moderate,active
ko akon dughan hilanat gid,chest high fever,urgent,moderate,active
ko akon ilong hilanat gid,nose high fever,urgent,moderate,active
ko akon kilid mata hilanat gid,eyelid high fever,urgent,moderate,active
ko akon ngabil hilanat gid,lip high fever,urgent,moderate,active
ko akon pisngi hilanat gid,cheek high fever,urgent,moderate,active
ko akon singit hilanat gid,groin high fever,urgent,moderate,active
ko akon talukap mata hilanat gid,eyelid high fever,urgent,moderate,active
ko akon tiyan hilanat gid,abdomen high fever,urgent,moderate,active
ko akon tungod hilanat gid,throat high fever,urgent,moderate,active
ko bukongbukong hilanat gid,ankle high fever,urgent,moderate,active
ko dalunggan hilanat gid,ear high fever,urgent,moderate,active
ko dughan hilanat gid,chest high fever,urgent,moderate,active
ko ilong hilanat gid,nose high fever,urgent,moderate,active
ko kilid mata hilanat gid,eyelid high fever,urgent,moderate,active
ko ngabil hilanat gid,lip high fever,urgent,moderate,active
ko pisngi hilanat gid,cheek high fever,urgent,moderate,active
ko singit hilanat gid,groin high fever,urgent,moderate,active
ko talukap mata hilanat gid,eyelid high fever,urgent,moderate,active
ko tiyan hilanat gid,abdomen high fever,urgent,moderate,active
ko tungod hilanat gid,throat high fever,urgent,moderate,active
masakit pag-ihi ko,painful urination,urgent,moderate,active
may hilanat gid abaga akon,shoulder high fever,urgent,moderate,active
may hilanat gid abaga akon ko,shoulder high fever,urgent,moderate,active
may hilanat gid abaga ko,shoulder high fever,urgent,moderate,active
may hilanat gid abaga ko akon,shoulder high fever,urgent,moderate,active
may hilanat gid bukongbukong akon,ankle high fever,urgent,moderate,active
may hilanat gid bukongbukong akon ko,ankle high fever,urgent,moderate,active
may hilanat gid bukongbukong ko,ankle high fever,urgent,moderate,active
may hilanat gid bukongbukong ko akon,ankle high fever,urgent,moderate,active
may hilanat gid dalunggan akon,ear high fever,urgent,moderate,active
may hilanat gid dalunggan akon ko,ear high fever,urgent,moderate,active
may hilanat gid dalunggan ko,ear high fever,urgent,moderate,active
may hilanat gid dalunggan ko akon,ear high fever,urgent,moderate,active
may hilanat gid dughan akon,chest high fever,urgent,moderate,active
may hilanat gid dughan akon ko,chest high fever,urgent,moderate,active
may hilanat gid dughan ko,chest high fever,urgent,moderate,active
may hilanat gid dughan ko akon,chest high fever,urgent,moderate,active
may hilanat gid ilong akon,nose high fever,urgent,moderate,active
may hilanat gid ilong akon ko,nose high fever,urgent,moderate,active
may hilanat gid ilong ko,nose high fever,urgent,moderate,active
may hilanat gid ilong ko akon,nose high fever,urgent,moderate,active
may hilanat gid kilid mata akon,eyelid high fever,urgent,moderate,active
may hilanat gid kilid mata akon ko,eyelid high fever,urgent,moderate,active
may hilanat gid kilid mata ko,eyelid high fever,urgent,moderate,active
may hilanat gid kilid mata ko akon,eyelid high fever,urgent,moderate,active
may hilanat gid ngabil akon,lip high fever,urgent,moderate,active
may hilanat gid ngabil akon ko,lip high fever,urgent,moderate,active
may hilanat gid ngabil ko,lip high fever,urgent,moderate,active
may hilanat gid ngabil ko akon,lip high fever,urgent,moderate,active
may hilanat gid pisngi akon,cheek high fever,urgent,moderate,active
may hilanat gid pisngi akon ko,cheek high fever,urgent,moderate,active
may hilanat gid pisngi ko,cheek high fever,urgent,moderate,active
may hilanat gid pisngi ko akon,cheek high fever,urgent,moderate,active
may hilanat gid sa abaga akon,shoulder high fever,urgent,moderate,active
may hilanat gid sa abaga akon ko,shoulder high fever,urgent,moderate,active
may hilanat gid sa abaga ko,shoulder high fever,urgent,moderate,active
may hilanat gid sa abaga ko akon,shoulder high fever,urgent,moderate,active
may hilanat gid sa bukongbukong akon,ankle high fever,urgent,moderate,active
may hilanat gid sa bukongbukong akon ko,ankle high fever,urgent,moderate,active
may hilanat gid sa bukongbukong ko,ankle high fever,urgent,moderate,active
may hilanat gid sa bukongbukong ko akon,ankle high fever,urgent,moderate,active
may hilanat gid sa dalunggan akon,ear high fever,urgent,moderate,active
may hilanat gid sa dalunggan akon ko,ear high fever,urgent,moderate,active
may hilanat gid sa dalunggan ko,ear high fever,urgent,moderate,active
may hilanat gid sa dalunggan ko akon,ear high fever,urgent,moderate,active
may hilanat gid sa dughan akon,chest high fever,urgent,moderate,active
may hilanat gid sa dughan akon ko,chest high fever,urgent,moderate,active
may hilanat gid sa dughan ko,chest high fever,urgent,moderate,active
may hilanat gid sa dughan ko akon,chest high fever,urgent,moderate,active
may hilanat gid sa ilong akon,nose high fever,urgent,moderate,active
may hilanat gid sa ilong akon ko,nose high fever,urgent,moderate,active
may hilanat gid sa ilong ko,nose high fever,urgent,moderate,active
may hilanat gid sa ilong ko akon,nose high fever,urgent,moderate,active
may hilanat gid sa kilid mata akon,eyelid high fever,urgent,moderate,active
may hilanat gid sa kilid mata akon ko,eyelid high fever,urgent,moderate,active
may hilanat gid sa kilid mata ko,eyelid high fever,urgent,moderate,active
may hilanat gid sa kilid mata ko akon,eyelid high fever,urgent,moderate,active
may hilanat gid sa ngabil akon,lip high fever,urgent,moderate,active
may hilanat gid sa ngabil akon ko,lip high fever,urgent,moderate,active
may hilanat gid sa ngabil ko,lip high fever,urgent,moderate,active
may hilanat gid sa ngabil ko akon,lip high fever,urgent,moderate,active
may hilanat gid sa pisngi akon,cheek high fever,urgent,moderate,active
may hilanat gid sa pisngi akon ko,cheek high fever,urgent,moderate,active
may hilanat gid sa pisngi ko,cheek high fever,urgent,moderate,active
may hilanat gid sa pisngi ko akon,cheek high fever,urgent,moderate,active
may hilanat gid sa singit akon,groin high fever,urgent,moderate,active
may hilanat gid sa singit akon ko,groin high fever,urgent,moderate,active
may hilanat gid sa singit ko,groin high fever,urgent,moderate,active
may hilanat gid sa singit ko akon,groin high fever,urgent,moderate,active
may hilanat gid sa talukap mata akon,eyelid high fever,urgent,moderate,active
may hilanat gid sa talukap mata akon ko,eyelid high fever,urgent,moderate,active
may hilanat gid sa talukap mata ko,eyelid high fever,urgent,moderate,active
may hilanat gid sa talukap mata ko akon,eyelid high fever,urgent,moderate,active
may hilanat gid sa tiyan akon,abdomen high fever,urgent,moderate,active
may hilanat gid sa tiyan akon ko,abdomen high fever,urgent,moderate,active
may hilanat gid sa tiyan ko,abdomen high fever,urgent,moderate,active
may hilanat gid sa tiyan ko akon,abdomen high fever,urgent,moderate,active
may hilanat gid sa tungod akon,throat high fever,urgent,moderate,active
may hilanat gid sa tungod akon ko,throat high fever,urgent,moderate,active
may hilanat gid sa tungod ko,throat high fever,urgent,moderate,active
may hilanat gid sa tungod ko akon,throat high fever,urgent,moderate,active
may hilanat gid singit akon,groin high fever,urgent,moderate,active
may hilanat gid singit akon ko,groin high fever,urgent,moderate,active
may hilanat gid singit ko,groin high fever,urgent,moderate,active
may hilanat gid singit ko akon,groin high fever,urgent,moderate,active
may hilanat gid talukap mata akon,eyelid high fever,urgent,moderate,active
may hilanat gid talukap mata akon ko,eyelid high fever,urgent,moderate,active
may hilanat gid talukap mata ko,eyelid high fever,urgent,moderate,active
may hilanat gid talukap mata ko akon,eyelid high fever,urgent,moderate,active
may hilanat gid tiyan akon,abdomen high fever,urgent,moderate,active
may hilanat gid tiyan akon ko,abdomen high fever,urgent,moderate,active
may hilanat gid tiyan ko,abdomen high fever,urgent,moderate,active
may hilanat gid tiyan ko akon,abdomen high fever,urgent,moderate,active
may hilanat gid tungod akon,throat high fever,urgent,moderate,active
may hilanat gid tungod akon ko,throat high fever,urgent,moderate,active
may hilanat gid tungod ko,throat high fever,urgent,moderate,active
may hilanat gid tungod ko akon,throat high fever,urgent,moderate,active
may nana akon mata,eye infection,urgent,moderate,active
may nana ari ko,penis infection,urgent,moderate,active
may nana bilat ko,vagina infection,urgent,moderate,active
may nana dalunggan ko,ear infection,urgent,moderate,active
may nana mata ko,eye infection,urgent,moderate,active
may nana sa,infection with pus,urgent,moderate,active
may nana sa ari ko,penile infection,urgent,severe,active
may nana sa bilat ko,vaginal infection,urgent,severe,active
may nana tudlo ko,finger infection,urgent,moderate,active
may pilas kamot ko,hand wound,urgent,moderate,active
may pilas tiil ko,foot wound,urgent,moderate,active
nabali bukongbukong ko,ankle fracture,urgent,moderate,active
nabali kamot ko,hand fracture,urgent,moderate,active
nabali tudlo ko,finger fracture,urgent,moderate,active
nabali tuhod ko,knee fracture,urgent,moderate,active
nagdugo ari ko,penis bleeding,urgent,moderate,active
nagdugo bilat ko,vagina bleeding,urgent,moderate,active
nagdugo kamot ko,hand bleeding,urgent,moderate,active
nagdugo tudlo ko,finger bleeding,urgent,moderate,active
nasunog kamot ko,hand burn,urgent,moderate,active
nasunog tiil ko,foot burn,urgent,moderate,active
nasunog tudlo ko,finger burn,urgent,moderate,active
ngabil akon hilanat gid,lip high fever,urgent,moderate,active
ngabil akon ko hilanat gid,lip high fever,urgent,moderate,active
ngabil hilanat gid,lip high fever,urgent,moderate,active
ngabil ko akon hilanat gid,lip high fever,urgent,moderate,active
ngabil ko hilanat gid,lip high fever,urgent,moderate,active
pisngi akon hilanat gid,cheek high fever,urgent,moderate,active
pisngi akon ko hilanat gid,cheek high fever,urgent,moderate,active
pisngi hilanat gid,cheek high fever,urgent,moderate,active
pisngi ko akon hilanat gid,cheek high fever,urgent,moderate,active
pisngi ko hilanat gid,cheek high fever,urgent,moderate,active
singit akon hilanat gid,groin high fever,urgent,moderate,active
singit akon ko hilanat gid,groin high fever,urgent,moderate,active
singit hilanat gid,groin high fever,urgent,moderate,active
singit ko akon hilanat gid,groin high fever,urgent,moderate,active
singit ko hilanat gid,groin high fever,urgent,moderate,active
talukap mata akon hilanat gid,eyelid high fever,urgent,moderate,active
talukap mata akon ko hilanat gid,eyelid high fever,urgent,moderate,active
talukap mata hilanat gid,eyelid high fever,urgent,moderate,active
talukap mata ko akon hilanat gid,eyelid high fever,urgent,moderate,active
talukap mata ko hilanat gid,eyelid high fever,urgent,moderate,active
tiyan akon hilanat gid,abdomen high fever,urgent,moderate,active
tiyan akon ko hilanat gid,abdomen high fever,urgent,moderate,active
tiyan hilanat gid,abdomen high fever,urgent,moderate,active
tiyan ko akon hilanat gid,abdomen high fever,urgent,moderate,active
tiyan ko hilanat gid,abdomen high fever,urgent,moderate,active
tungod akon hilanat gid,throat high fever,urgent,moderate,active
tungod akon ko hilanat gid,throat high fever,urgent,moderate,active
tungod hilanat gid,throat high fever,urgent,moderate,active
tungod ko akon hilanat gid,throat high fever,urgent,moderate,active
tungod ko hilanat gid,throat high fever,urgent,moderate,active
masakit dughan kag budlay ginhawa,chest pain with difficulty breathing,EMERGENCY,critical,active
budlay gid magginhawa,severe shortness of breath,EMERGENCY,critical,active
wala malay,unconscious,EMERGENCY,critical,active
naguyam,seizure,EMERGENCY,critical,active
indi makahambal,stroke symptoms,EMERGENCY,critical,active
bigla nga paralisis,sudden paralysis,EMERGENCY,critical,active
bigla nabuta,sudden vision loss,EMERGENCY,critical,active
may dugo sa suka,vomiting blood,EMERGENCY,critical,active
nagauba dugo,coughing blood,EMERGENCY,critical,active
indi mapunggan ang dugo,severe bleeding,EMERGENCY,critical,active
asul bibig,blue lips,EMERGENCY,critical,active
nakainom lason,poisoning,EMERGENCY,critical,active
nasunog lawas,severe burns,EMERGENCY,critical,active
gahubag tutunlan,anaphylaxis,EMERGENCY,critical,active
nagakalibog kag grabe lagnat,confusion with high fever,EMERGENCY,critical,active
